betas,dx,H inital,H num inital,H num end,Relative Error,Rel Err Nums
0.5,0.0048828125,10395.5115744,10395.5115745,10395.5116041,2.85564955377e-09,2.96458638331e-05
0.5,0.009765625,10395.5623488,10395.5623489,10395.5624125,6.12490907393e-09,6.3679757659e-05
0.5,0.0244140625,10395.7146721,10395.7146721,10395.7139325,7.11418440859e-08,0.000739613788028
0.5,0.029296875,10395.7654465,10395.8612473,10395.8595858,9.05554440499e-06,0.00166143178831
0.5,0.0341796875,10395.8162209,10395.9599221,10395.9568137,1.35239791254e-05,0.00310834166339
0.5,0.01953125,10395.6638977,10395.6638976,10395.663678,2.11296028097e-08,0.000219671355808
0.5,0.0439453125,10395.9177697,10396.0135705,10396.0054601,8.43507763137e-06,0.00811037445419
0.5,0.048828125,10395.9685441,10395.9685441,10395.956593,1.1495937655e-06,0.0119511271714
0.5,0.0537109375,10396.0193186,10396.2348703,10396.2179821,1.91095783131e-05,0.0168882622329
0.5,0.05859375,10396.070093,10396.1658938,10396.1428129,6.994944301e-06,0.0230808386586
0.5,0.0634765625,10396.1208674,10396.1687678,10396.1380705,1.65476309918e-06,0.0306972236522
0.5,0.068359375,10396.1716418,10396.315343,10396.2754352,9.98381006979e-06,0.0399078090013
0.5,0.0732421875,10396.2224162,10396.4619182,10396.4110288,1.81424157266e-05,0.0508893836468
0.5,0.0390625,10395.8669953,10395.8669953,10395.8617838,5.01306192559e-07,0.00521152107467
0.5,0.078125,10396.2731906,10396.2731906,10396.2093658,6.13920236909e-06,0.0638247956176
0.5,0.15625,10397.0855813,10397.0855812,10396.4013888,6.58061766111e-05,0.684192424351
0.5,0.3125,10398.7103625,10398.7103622,10393.989926,0.000453944415744,4.7204362784
0.5,0.625,10401.959925,10401.9599095,10392.9173129,0.000869318105934,9.04259657551
0.5,1.25,10408.45905,10408.4582646,10398.4212397,0.000964389661503,10.0370249014
