betas,dx,H inital,H num inital,H num end,Relative Error,Rel Err Nums
1000.0,0.00244140625,10398.6238176,10398.6233218,nan,nan,nan
1000.0,0.0048828125,10398.6492048,10398.6468672,nan,nan,nan
1000.0,0.009765625,10398.6999792,10398.6937378,nan,nan,nan
1000.0,0.01953125,10398.8015281,10398.7874756,nan,nan,nan
1000.0,0.0390625,10399.0046257,10398.9749512,nan,nan,nan
1000.0,0.078125,10399.410821,10399.3499025,nan,nan,nan
1000.0,0.15625,10400.2232117,10400.0998049,nan,nan,nan
1000.0,0.3125,10401.8479929,10401.5996099,10402.1437029,2.84286023216e-05,0.544093010418
1000.0,0.625,10405.0975554,10404.5992198,10406.9427524,0.000177335867364,2.34353265058
1000.0,1.25,10411.5966804,10410.5984395,10416.1248965,0.000434920429498,5.52645697176
