Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,W Term 3,D Term 1,D Term 2
-18*x*(-3*x/2 + 1/2)**3*(9*x - 3/2),-1/3,1/3,-23/10,wjm1o2p,wjm1o2p,wjm1o2p,dphij,dtphijm1o2
-18*x*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x - 3/2),-1/3,1/3,-3/10,wjp1o2m,wjm1o2p,wjm1o2p,dphij,dtphijm1o2
-18*x*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x - 3/2),-1/3,1/3,-3/10,wjm1o2p,wjp1o2m,wjm1o2p,dphij,dtphijm1o2
-18*x*(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x - 3/2),-1/3,1/3,-1/10,wjp1o2m,wjp1o2m,wjm1o2p,dphij,dtphijm1o2
-18*x*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x - 3/2),-1/3,1/3,-3/10,wjm1o2p,wjm1o2p,wjp1o2m,dphij,dtphijm1o2
-18*x*(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x - 3/2),-1/3,1/3,-1/10,wjp1o2m,wjm1o2p,wjp1o2m,dphij,dtphijm1o2
-18*x*(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x - 3/2),-1/3,1/3,-1/10,wjm1o2p,wjp1o2m,wjp1o2m,dphij,dtphijm1o2
-18*x*(3*x/2 + 1/2)**3*(9*x - 3/2),-1/3,1/3,-1/2,wjp1o2m,wjp1o2m,wjp1o2m,dphij,dtphijm1o2
(-3*x/2 + 1/2)**3*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,13/40,wjm1o2p,wjm1o2p,wjm1o2p,dphijp1o2,dtphijm1o2
(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,-1/40,wjp1o2m,wjm1o2p,wjm1o2p,dphijp1o2,dtphijm1o2
(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,-1/40,wjm1o2p,wjp1o2m,wjm1o2p,dphijp1o2,dtphijm1o2
(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,-1/40,wjp1o2m,wjp1o2m,wjm1o2p,dphijp1o2,dtphijm1o2
(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,-1/40,wjm1o2p,wjm1o2p,wjp1o2m,dphijp1o2,dtphijm1o2
(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,-1/40,wjp1o2m,wjm1o2p,wjp1o2m,dphijp1o2,dtphijm1o2
(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,-1/40,wjm1o2p,wjp1o2m,wjp1o2m,dphijp1o2,dtphijm1o2
(3*x/2 + 1/2)**3*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,13/40,wjp1o2m,wjp1o2m,wjp1o2m,dphijp1o2,dtphijm1o2
-18*x*(-3*x/2 + 1/2)**3*(9*x - 3/2),-1/3,1/3,-23/10,wjm1o2p,wjm1o2p,wjm1o2p,dphijm1o2,dtphij
-18*x*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x - 3/2),-1/3,1/3,-3/10,wjp1o2m,wjm1o2p,wjm1o2p,dphijm1o2,dtphij
-18*x*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x - 3/2),-1/3,1/3,-3/10,wjm1o2p,wjp1o2m,wjm1o2p,dphijm1o2,dtphij
-18*x*(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x - 3/2),-1/3,1/3,-1/10,wjp1o2m,wjp1o2m,wjm1o2p,dphijm1o2,dtphij
-18*x*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x - 3/2),-1/3,1/3,-3/10,wjm1o2p,wjm1o2p,wjp1o2m,dphijm1o2,dtphij
-18*x*(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x - 3/2),-1/3,1/3,-1/10,wjp1o2m,wjm1o2p,wjp1o2m,dphijm1o2,dtphij
-18*x*(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x - 3/2),-1/3,1/3,-1/10,wjm1o2p,wjp1o2m,wjp1o2m,dphijm1o2,dtphij
-18*x*(3*x/2 + 1/2)**3*(9*x - 3/2),-1/3,1/3,-1/2,wjp1o2m,wjp1o2m,wjp1o2m,dphijm1o2,dtphij
324*x**2*(-3*x/2 + 1/2)**3,-1/3,1/3,14/5,wjm1o2p,wjm1o2p,wjm1o2p,dphij,dtphij
324*x**2*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2),-1/3,1/3,2/5,wjp1o2m,wjm1o2p,wjm1o2p,dphij,dtphij
324*x**2*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2),-1/3,1/3,2/5,wjm1o2p,wjp1o2m,wjm1o2p,dphij,dtphij
324*x**2*(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2,-1/3,1/3,2/5,wjp1o2m,wjp1o2m,wjm1o2p,dphij,dtphij
324*x**2*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2),-1/3,1/3,2/5,wjm1o2p,wjm1o2p,wjp1o2m,dphij,dtphij
324*x**2*(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2,-1/3,1/3,2/5,wjp1o2m,wjm1o2p,wjp1o2m,dphij,dtphij
324*x**2*(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2,-1/3,1/3,2/5,wjm1o2p,wjp1o2m,wjp1o2m,dphij,dtphij
324*x**2*(3*x/2 + 1/2)**3,-1/3,1/3,14/5,wjp1o2m,wjp1o2m,wjp1o2m,dphij,dtphij
-18*x*(-3*x/2 + 1/2)**3*(9*x + 3/2),-1/3,1/3,-1/2,wjm1o2p,wjm1o2p,wjm1o2p,dphijp1o2,dtphij
-18*x*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x + 3/2),-1/3,1/3,-1/10,wjp1o2m,wjm1o2p,wjm1o2p,dphijp1o2,dtphij
-18*x*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x + 3/2),-1/3,1/3,-1/10,wjm1o2p,wjp1o2m,wjm1o2p,dphijp1o2,dtphij
-18*x*(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x + 3/2),-1/3,1/3,-3/10,wjp1o2m,wjp1o2m,wjm1o2p,dphijp1o2,dtphij
-18*x*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x + 3/2),-1/3,1/3,-1/10,wjm1o2p,wjm1o2p,wjp1o2m,dphijp1o2,dtphij
-18*x*(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x + 3/2),-1/3,1/3,-3/10,wjp1o2m,wjm1o2p,wjp1o2m,dphijp1o2,dtphij
-18*x*(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x + 3/2),-1/3,1/3,-3/10,wjm1o2p,wjp1o2m,wjp1o2m,dphijp1o2,dtphij
-18*x*(3*x/2 + 1/2)**3*(9*x + 3/2),-1/3,1/3,-23/10,wjp1o2m,wjp1o2m,wjp1o2m,dphijp1o2,dtphij
(-3*x/2 + 1/2)**3*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,13/40,wjm1o2p,wjm1o2p,wjm1o2p,dphijm1o2,dtphijp1o2
(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,-1/40,wjp1o2m,wjm1o2p,wjm1o2p,dphijm1o2,dtphijp1o2
(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,-1/40,wjm1o2p,wjp1o2m,wjm1o2p,dphijm1o2,dtphijp1o2
(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,-1/40,wjp1o2m,wjp1o2m,wjm1o2p,dphijm1o2,dtphijp1o2
(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,-1/40,wjm1o2p,wjm1o2p,wjp1o2m,dphijm1o2,dtphijp1o2
(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,-1/40,wjp1o2m,wjm1o2p,wjp1o2m,dphijm1o2,dtphijp1o2
(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,-1/40,wjm1o2p,wjp1o2m,wjp1o2m,dphijm1o2,dtphijp1o2
(3*x/2 + 1/2)**3*(9*x - 3/2)*(9*x + 3/2),-1/3,1/3,13/40,wjp1o2m,wjp1o2m,wjp1o2m,dphijm1o2,dtphijp1o2
-18*x*(-3*x/2 + 1/2)**3*(9*x + 3/2),-1/3,1/3,-1/2,wjm1o2p,wjm1o2p,wjm1o2p,dphij,dtphijp1o2
-18*x*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x + 3/2),-1/3,1/3,-1/10,wjp1o2m,wjm1o2p,wjm1o2p,dphij,dtphijp1o2
-18*x*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x + 3/2),-1/3,1/3,-1/10,wjm1o2p,wjp1o2m,wjm1o2p,dphij,dtphijp1o2
-18*x*(-3*x/2 + 1/2)*(3*x/2 + 1/2)**2*(9*x + 3/2),-1/3,1/3,-3/10,wjp1o2m,wjp1o2m,wjm1o2p,dphij,dtphijp1o2
-18*x*(-3*x/2 + 1/2)**2*(3*x/2 + 1/2)*(9*x + 3/2),-1/3,1/3,-1/10,wjm1o2p,wjm1o2p,wjp1o2m,dphij,dtphijp1o2
