dx,time,diff,height norm,velocity norm
0.0048828125,30.0,2.5,0.0,0.0
0.009765625,30.0,2.5,3.61169116799e-07,4.99755209262e-06
0.0244140625,30.0,2.5,4.03868663419e-06,5.22096199937e-05
0.029296875,30.0,2.5,6.71041425286e-06,8.54970484711e-05
0.01953125,30.0,2.5,2.23276380199e-06,2.94004184946e-05
0.048828125,30.0,2.5,2.97815294427e-05,0.000369142994972
0.05859375,30.0,2.5,5.16672627535e-05,0.000637623037419
0.0390625,30.0,2.5,1.52870333643e-05,0.000191429104883
0.078125,30.0,2.5,0.000123314201196,0.00151831099201
0.15625,30.0,2.5,0.000889274679376,0.0113213158229
0.3125,30.0,2.5,0.00380900213576,0.0529315406825
0.625,30.0,2.5,0.00678642248771,0.0993297383433
1.25,30.0,2.5,0.0072386221575,0.107288708735
