betas,dx,H inital,H num inital,H num end,Relative Error,Rel Err Nums
0.5,0.00244140625,10395.4861872,10395.486187,10395.4861654,2.09774052779e-09,2.16849148273e-05
0.5,0.0048828125,10395.5115744,10395.5115745,10395.5114771,9.36116136787e-09,9.73355417955e-05
0.5,0.009765625,10395.5623488,10395.5623489,10395.5618704,4.60223418896e-08,0.000478453443066
0.5,0.0244140625,10395.7146721,10395.7146721,10395.7096877,4.79463939707e-07,0.00498439769035
0.5,0.029296875,10395.7654465,10395.8612473,10395.8529568,8.41788092215e-06,0.00829051495748
0.5,0.0341796875,10395.8162209,10395.9599221,10395.9470192,1.25818212619e-05,0.0129028835127
0.5,0.01953125,10395.6638977,10395.6638976,10395.6611679,2.62586043277e-07,0.00272977336135
0.5,0.0439453125,10395.9177697,10396.0135705,10395.9863937,6.60105004261e-06,0.027176828602
0.5,0.048828125,10395.9685441,10395.9685441,10395.9310891,3.60284281988e-06,0.037455062462
0.5,0.0537109375,10396.0193186,10396.2348703,10396.1846004,1.58985704284e-05,0.0502699517074
0.5,0.05859375,10396.070093,10396.1658938,10396.0999253,2.86957773313e-06,0.0659684934435
0.5,0.0634765625,10396.1208674,10396.1687678,10396.0838516,3.56053794344e-06,0.0849161328733
0.5,0.068359375,10396.1716418,10396.315343,10396.207865,3.48428290469e-06,0.107477930862
0.5,0.0732421875,10396.2224162,10396.4619182,10396.3278891,1.0145309021e-05,0.134029090219
0.5,0.0390625,10395.8669953,10395.8669953,10395.8478968,1.83712551436e-06,0.0190984797518
0.5,0.078125,10396.2731906,10396.2731906,10396.1082434,1.58659956291e-05,0.16494726418
0.5,0.15625,10397.0855813,10397.0855812,10395.5941715,0.00014344498161,1.49140973595
0.5,0.3125,10398.7103625,10398.7103622,10391.6459841,0.000679351395869,7.06437817383
0.5,0.625,10401.959925,10401.9599095,10392.4867371,0.000910711824339,9.47317237898
0.5,1.25,10408.45905,10408.4582646,10397.9022743,0.00101424962613,10.5559903104
