betas,dx,H inital,H num inital,H num end,Relative Error,Rel Err Nums
0.5,0.00244140625,10395.4861872,10395.486187,10395.4860935,9.01420394965e-09,9.3559277957e-05
0.5,0.0048828125,10395.5115744,10395.5115745,10395.5114802,9.06295574942e-09,9.42584229051e-05
0.5,0.009765625,10395.5623488,10395.5623489,10395.5625323,1.7649057252e-08,0.000183387670404
0.5,0.01220703125,10395.587736,10395.587736,10395.5881977,4.44096914594e-08,0.000461634745079
0.5,0.0146484375,10395.6131232,10395.6370734,10395.6379062,2.38398231228e-06,0.000832779529446
0.5,0.01708984375,10395.6385104,10395.6983859,10395.7016442,6.07309985997e-06,0.00325824586616
0.5,0.01953125,10395.6638977,10395.6638976,10395.6657513,1.78309318909e-07,0.00185367985796
0.5,0.02197265625,10395.6892849,10395.7850857,10395.787589,9.45624037275e-06,0.00250335902092
0.5,0.0244140625,10395.7146721,10395.7146721,10395.7179178,3.12218042709e-07,0.00324576074672
0.5,0.02685546875,10395.7400593,10395.823885,10395.8310481,8.75251036841e-06,0.00716314093552
0.5,0.029296875,10395.7654465,10395.8612473,10395.8662559,9.69716142049e-06,0.0050086188312
0.5,0.03173828125,10395.7908337,10395.8387341,10395.8484057,5.53801144285e-06,0.00967162203233
0.5,0.0341796875,10395.8162209,10395.9599221,10395.9670639,1.45099719307e-05,0.00714181617695
0.5,0.03662109375,10395.8416081,10395.9014836,10395.9098306,6.56247922026e-06,0.00834698387735
0.5,0.0390625,10395.8669953,10395.8669953,10395.8766399,9.27732867602e-07,0.00964455181565
0.5,0.078125,10396.2731906,10396.2731906,10396.3160642,4.1239369352e-06,0.0428735807236
0.5,0.15625,10397.0855813,10397.0855812,10397.2630924,1.70731642644e-05,0.177511123424
0.5,0.3125,10398.7103625,10398.7103622,10399.3946231,6.58024482025e-05,0.684260810194
0.5,0.625,10401.959925,10401.9599095,10404.2016343,0.000215508357671,2.2417248748
0.5,1.25,10408.45905,10408.4582646,10413.5995783,0.000493879860151,5.14131363795
