Time(s),wg1(cm),wg2(cm),wg3(cm),wg4(cm),wg5(cm),wg6(cm),wg7(cm)
0.039,0.5,-1.08,1.23,-0.72,-1.14,-0.01,1.0
0.079,0.26,-1.04,0.7,-0.77,-1.03,0.26,0.97
0.118,0.05,-1.0,0.37,-0.78,-0.86,0.57,0.91
0.157,-0.15,-0.89,0.11,-0.79,-0.7,0.86,0.83
0.197,-0.33,-0.76,-0.09,-0.81,-0.54,1.09,0.74
0.236,-0.53,-0.57,-0.22,-0.82,-0.41,1.24,0.64
0.275,-0.7,-0.36,-0.3,-0.81,-0.3,1.27,0.54
0.314,-0.85,-0.12,-0.38,-0.75,-0.23,1.22,0.43
0.354,-0.97,0.16,-0.46,-0.69,-0.17,1.09,0.34
0.393,-1.06,0.45,-0.51,-0.64,-0.09,0.94,0.22
0.432,-1.13,0.75,-0.54,-0.63,0.0,0.75,0.07
0.472,-1.19,1.04,-0.58,-0.65,0.12,0.58,-0.12
0.511,-1.2,1.29,-0.62,-0.65,0.3,0.46,-0.35
0.55,-1.16,1.44,-0.72,-0.6,0.51,0.38,-0.58
0.59,-1.07,1.48,-0.85,-0.52,0.77,0.32,-0.82
0.629,-0.88,1.46,-0.97,-0.42,1.05,0.23,-1.02
0.668,-0.66,1.35,-1.03,-0.34,1.27,0.09,-1.19
0.708,-0.41,1.17,-1.03,-0.24,1.41,-0.1,-1.28
0.747,-0.18,0.94,-1.01,-0.07,1.47,-0.33,-1.31
0.786,0.04,0.68,-0.97,0.22,1.43,-0.56,-1.27
0.826,0.26,0.4,-0.94,0.63,1.31,-0.76,-1.14
0.865,0.48,0.14,-0.86,1.09,1.06,-0.92,-0.96
0.904,0.65,-0.09,-0.72,1.52,0.74,-1.04,-0.73
0.943,0.8,-0.3,-0.47,1.85,0.36,-1.11,-0.48
0.983,0.93,-0.48,-0.15,1.97,-0.02,-1.14,-0.2
1.022,1.04,-0.63,0.26,1.84,-0.37,-1.11,0.07
1.061,1.12,-0.77,0.73,1.45,-0.66,-1.05,0.33
1.101,1.19,-0.88,1.22,0.89,-0.91,-0.96,0.56
1.14,1.21,-0.96,1.72,0.36,-1.08,-0.84,0.77
1.179,1.17,-1.03,2.04,0.01,-1.2,-0.7,0.9
1.219,1.01,-1.08,2.07,-0.29,-1.24,-0.52,0.98
1.258,0.78,-1.09,1.8,-0.54,-1.22,-0.31,1.0
1.297,0.52,-1.08,1.28,-0.68,-1.13,-0.06,1.01
1.337,0.29,-1.07,0.76,-0.75,-1.01,0.22,0.98
1.376,0.08,-1.0,0.4,-0.78,-0.86,0.52,0.93
1.415,-0.12,-0.9,0.14,-0.8,-0.71,0.82,0.86
1.455,-0.31,-0.78,-0.07,-0.82,-0.56,1.07,0.78
1.494,-0.5,-0.61,-0.19,-0.84,-0.43,1.22,0.67
1.533,-0.67,-0.41,-0.26,-0.84,-0.33,1.28,0.58
1.572,-0.84,-0.18,-0.33,-0.79,-0.26,1.25,0.47
1.612,-0.95,0.1,-0.41,-0.72,-0.2,1.13,0.36
1.651,-1.05,0.39,-0.49,-0.66,-0.13,0.96,0.23
1.69,-1.12,0.69,-0.54,-0.64,-0.03,0.8,0.08
1.73,-1.19,0.98,-0.58,-0.65,0.09,0.62,-0.11
1.769,-1.21,1.24,-0.64,-0.65,0.26,0.5,-0.35
1.808,-1.19,1.41,-0.73,-0.6,0.47,0.41,-0.58
1.848,-1.08,1.48,-0.85,-0.51,0.74,0.33,-0.82
1.887,-0.89,1.46,-0.99,-0.41,0.99,0.24,-1.02
1.926,-0.68,1.36,-1.04,-0.32,1.24,0.09,-1.19
1.966,-0.44,1.21,-1.05,-0.24,1.41,-0.1,-1.28
2.005,-0.2,0.98,-1.01,-0.1,1.47,-0.33,-1.32
2.044,0.02,0.71,-0.96,0.16,1.46,-0.56,-1.27
2.084,0.24,0.42,-0.93,0.53,1.34,-0.75,-1.16
2.123,0.45,0.17,-0.87,0.97,1.11,-0.9,-0.99
2.162,0.64,-0.07,-0.74,1.4,0.79,-1.01,-0.76
2.201,0.78,-0.26,-0.52,1.75,0.42,-1.08,-0.5
2.241,0.91,-0.45,-0.21,1.94,0.02,-1.1,-0.23
2.28,1.04,-0.61,0.17,1.88,-0.34,-1.09,0.06
2.319,1.12,-0.76,0.62,1.57,-0.63,-1.04,0.32
2.359,1.19,-0.86,1.12,1.03,-0.87,-0.96,0.55
2.398,1.21,-0.96,1.62,0.48,-1.07,-0.85,0.75
2.437,1.17,-1.04,2.0,0.07,-1.18,-0.72,0.9
2.477,1.04,-1.09,2.07,-0.24,-1.24,-0.56,0.97
2.516,0.82,-1.1,1.85,-0.52,-1.2,-0.34,1.0
2.555,0.57,-1.1,1.4,-0.69,-1.13,-0.1,1.0
2.595,0.34,-1.07,0.86,-0.78,-1.0,0.18,0.98
2.634,0.11,-1.01,0.45,-0.82,-0.86,0.45,0.93
2.673,-0.1,-0.91,0.19,-0.83,-0.71,0.75,0.86
2.713,-0.3,-0.79,-0.05,-0.84,-0.56,1.01,0.79
2.752,-0.48,-0.63,-0.17,-0.84,-0.44,1.21,0.69
2.791,-0.66,-0.45,-0.25,-0.84,-0.35,1.28,0.6
2.83,-0.8,-0.23,-0.32,-0.79,-0.28,1.26,0.49
2.87,-0.93,0.04,-0.41,-0.71,-0.23,1.16,0.39
2.909,-1.02,0.32,-0.49,-0.64,-0.16,1.01,0.26
2.948,-1.12,0.64,-0.53,-0.62,-0.08,0.82,0.09
2.988,-1.19,0.93,-0.58,-0.63,0.04,0.64,-0.1
3.027,-1.22,1.21,-0.62,-0.64,0.2,0.5,-0.33
3.066,-1.2,1.4,-0.71,-0.6,0.42,0.39,-0.57
3.106,-1.09,1.47,-0.83,-0.53,0.68,0.32,-0.8
3.145,-0.93,1.46,-0.96,-0.43,0.96,0.24,-1.0
3.184,-0.71,1.38,-1.04,-0.36,1.22,0.12,-1.15
3.224,-0.47,1.23,-1.05,-0.28,1.4,-0.06,-1.26
3.263,-0.23,1.02,-1.03,-0.16,1.48,-0.27,-1.31
3.302,0.0,0.75,-1.0,0.07,1.47,-0.5,-1.27
3.342,0.22,0.47,-0.96,0.42,1.36,-0.7,-1.17
3.381,0.44,0.22,-0.92,0.86,1.16,-0.86,-1.01
3.42,0.63,-0.01,-0.8,1.31,0.85,-1.01,-0.8
3.459,0.79,-0.24,-0.58,1.69,0.49,-1.08,-0.55
3.499,0.91,-0.44,-0.28,1.92,0.11,-1.1,-0.29
3.538,1.01,-0.6,0.1,1.91,-0.26,-1.09,0.0
3.577,1.11,-0.74,0.54,1.64,-0.56,-1.04,0.25
3.617,1.18,-0.86,1.02,1.15,-0.82,-0.97,0.51
3.656,1.23,-0.97,1.53,0.58,-1.01,-0.88,0.72
3.695,1.18,-1.04,1.93,0.14,-1.15,-0.76,0.88
3.735,1.05,-1.09,2.07,-0.17,-1.22,-0.59,0.97
3.774,0.85,-1.1,1.92,-0.46,-1.22,-0.4,1.01
3.813,0.62,-1.09,1.5,-0.65,-1.15,-0.16,1.03
3.853,0.37,-1.06,0.97,-0.75,-1.04,0.12,1.0
3.892,0.12,-1.01,0.53,-0.79,-0.91,0.42,0.96
3.931,-0.07,-0.92,0.24,-0.81,-0.77,0.7,0.88
3.971,-0.27,-0.82,-0.01,-0.82,-0.63,0.99,0.8
4.01,-0.46,-0.67,-0.16,-0.84,-0.5,1.18,0.71
4.049,-0.64,-0.49,-0.25,-0.84,-0.38,1.26,0.6
4.088,-0.79,-0.27,-0.32,-0.81,-0.3,1.25,0.49
4.128,-0.92,-0.02,-0.4,-0.74,-0.24,1.15,0.39
4.167,-1.02,0.29,-0.48,-0.67,-0.17,1.02,0.27
4.206,-1.11,0.61,-0.54,-0.64,-0.09,0.84,0.11
4.246,-1.18,0.93,-0.58,-0.64,0.02,0.68,-0.09
4.285,-1.21,1.21,-0.62,-0.66,0.16,0.54,-0.3
4.324,-1.2,1.39,-0.68,-0.63,0.36,0.43,-0.54
4.364,-1.11,1.46,-0.79,-0.55,0.61,0.35,-0.76
4.403,-0.95,1.45,-0.92,-0.45,0.88,0.26,-0.95
4.442,-0.72,1.36,-1.02,-0.36,1.14,0.16,-1.12
4.482,-0.5,1.23,-1.06,-0.29,1.34,0.0,-1.22
4.521,-0.25,1.05,-1.04,-0.18,1.45,-0.21,-1.27
4.56,-0.04,0.82,-1.01,0.01,1.47,-0.43,-1.25
4.6,0.19,0.56,-0.97,0.33,1.4,-0.65,-1.16
4.639,0.42,0.3,-0.93,0.75,1.21,-0.83,-1.01
4.678,0.62,0.04,-0.83,1.2,0.95,-0.96,-0.82
4.717,0.78,-0.2,-0.63,1.59,0.6,-1.05,-0.6
4.757,0.91,-0.42,-0.34,1.87,0.22,-1.09,-0.35
4.796,1.01,-0.6,0.02,1.93,-0.15,-1.09,-0.09
4.835,1.11,-0.77,0.45,1.74,-0.48,-1.05,0.19
4.875,1.19,-0.89,0.94,1.29,-0.76,-0.99,0.43
4.914,1.23,-0.98,1.44,0.72,-0.99,-0.91,0.67
4.953,1.19,-1.04,1.88,0.22,-1.15,-0.8,0.85
4.993,1.07,-1.07,2.07,-0.11,-1.25,-0.65,0.97
5.032,0.89,-1.07,1.99,-0.41,-1.26,-0.45,1.03
5.071,0.65,-1.04,1.59,-0.63,-1.2,-0.21,1.05
5.111,0.39,-1.02,1.05,-0.74,-1.1,0.07,1.03
5.15,0.15,-0.97,0.58,-0.8,-0.96,0.37,0.98
5.189,-0.06,-0.91,0.27,-0.82,-0.8,0.65,0.92
5.228,-0.26,-0.84,0.02,-0.83,-0.64,0.93,0.84
5.268,-0.44,-0.72,-0.15,-0.84,-0.5,1.13,0.74
5.307,-0.61,-0.56,-0.25,-0.85,-0.38,1.22,0.64
5.346,-0.77,-0.36,-0.29,-0.82,-0.3,1.24,0.52
5.386,-0.91,-0.08,-0.38,-0.76,-0.24,1.16,0.41
5.425,-1.0,0.24,-0.44,-0.69,-0.19,1.05,0.29
5.464,-1.11,0.59,-0.51,-0.64,-0.12,0.89,0.14
5.504,-1.18,0.94,-0.58,-0.64,-0.02,0.73,-0.05
5.543,-1.22,1.23,-0.61,-0.66,0.11,0.58,-0.26
5.582,-1.21,1.4,-0.68,-0.64,0.3,0.48,-0.5
5.622,-1.13,1.46,-0.78,-0.58,0.53,0.39,-0.73
5.661,-0.97,1.42,-0.9,-0.48,0.81,0.3,-0.93
5.7,-0.75,1.34,-1.01,-0.38,1.09,0.19,-1.08
5.74,-0.52,1.23,-1.06,-0.31,1.31,0.04,-1.2
5.779,-0.3,1.09,-1.06,-0.21,1.45,-0.16,-1.25
5.818,-0.05,0.89,-1.02,-0.03,1.48,-0.38,-1.26
5.857,0.18,0.65,-0.97,0.27,1.43,-0.6,-1.16
5.897,0.41,0.38,-0.94,0.68,1.28,-0.79,-1.04
5.936,0.6,0.11,-0.85,1.12,1.03,-0.94,-0.86
5.975,0.78,-0.17,-0.68,1.52,0.68,-1.03,-0.64
6.015,0.91,-0.41,-0.4,1.81,0.32,-1.08,-0.41
6.054,1.01,-0.63,-0.05,1.92,-0.06,-1.07,-0.15
6.093,1.12,-0.79,0.38,1.78,-0.41,-1.03,0.1
6.133,1.19,-0.92,0.87,1.39,-0.69,-0.97,0.36
6.172,1.23,-1.0,1.39,0.84,-0.93,-0.9,0.6
6.211,1.21,-1.04,1.84,0.32,-1.11,-0.8,0.81
6.251,1.11,-1.04,2.07,-0.02,-1.22,-0.67,0.96
6.29,0.92,-1.02,2.01,-0.33,-1.26,-0.51,1.03
6.329,0.68,-1.01,1.68,-0.58,-1.21,-0.28,1.05
6.369,0.42,-0.98,1.14,-0.72,-1.12,-0.02,1.05
6.408,0.18,-0.96,0.64,-0.78,-0.98,0.26,1.0
6.447,-0.05,-0.92,0.32,-0.82,-0.83,0.57,0.94
6.486,-0.25,-0.85,0.05,-0.83,-0.68,0.83,0.86
6.526,-0.43,-0.76,-0.15,-0.85,-0.54,1.08,0.78
6.565,-0.59,-0.61,-0.23,-0.86,-0.42,1.22,0.67
6.604,-0.74,-0.38,-0.3,-0.84,-0.33,1.25,0.56
6.644,-0.88,-0.09,-0.36,-0.78,-0.26,1.2,0.45
6.683,-1.0,0.24,-0.42,-0.7,-0.2,1.09,0.33
6.722,-1.09,0.61,-0.5,-0.64,-0.12,0.94,0.19
6.762,-1.18,0.93,-0.57,-0.62,-0.01,0.79,0.02
6.801,-1.22,1.21,-0.61,-0.64,0.12,0.64,-0.19
6.84,-1.21,1.38,-0.67,-0.63,0.29,0.51,-0.44
6.88,-1.13,1.44,-0.75,-0.58,0.51,0.41,-0.67
6.919,-0.97,1.42,-0.86,-0.48,0.77,0.31,-0.89
6.958,-0.77,1.38,-0.99,-0.38,1.04,0.2,-1.06
6.998,-0.54,1.29,-1.06,-0.3,1.28,0.06,-1.17
7.037,-0.31,1.16,-1.07,-0.21,1.43,-0.13,-1.26
7.076,-0.07,0.95,-1.03,-0.06,1.48,-0.33,-1.27
7.115,0.16,0.68,-0.97,0.21,1.46,-0.53,-1.21
7.155,0.39,0.39,-0.93,0.6,1.34,-0.73,-1.1
7.194,0.59,0.1,-0.84,1.05,1.11,-0.86,-0.91
7.233,0.76,-0.15,-0.69,1.47,0.79,-0.97,-0.7
7.273,0.9,-0.39,-0.42,1.79,0.42,-1.03,-0.46
7.312,1.01,-0.6,-0.09,1.93,0.04,-1.03,-0.2
7.351,1.12,-0.76,0.33,1.82,-0.31,-1.01,0.06
7.391,1.19,-0.88,0.83,1.47,-0.62,-0.96,0.33
7.43,1.23,-0.96,1.37,0.94,-0.87,-0.91,0.56
7.469,1.2,-1.01,1.83,0.4,-1.07,-0.84,0.78
7.509,1.12,-1.03,2.09,0.03,-1.21,-0.75,0.93
7.548,0.94,-1.02,2.05,-0.28,-1.27,-0.58,1.03
7.587,0.7,-1.01,1.73,-0.54,-1.24,-0.38,1.05
7.627,0.44,-1.01,1.2,-0.69,-1.15,-0.12,1.05
7.666,0.19,-0.98,0.7,-0.77,-1.03,0.18,1.01
7.705,-0.03,-0.94,0.37,-0.8,-0.87,0.49,0.96
7.744,-0.24,-0.88,0.1,-0.81,-0.71,0.77,0.88
7.784,-0.41,-0.76,-0.1,-0.83,-0.56,1.03,0.81
7.823,-0.58,-0.61,-0.21,-0.84,-0.43,1.2,0.71
7.862,-0.72,-0.38,-0.28,-0.83,-0.33,1.26,0.6
7.902,-0.86,-0.09,-0.33,-0.78,-0.26,1.24,0.48
7.941,-0.98,0.24,-0.41,-0.71,-0.2,1.14,0.35
7.98,-1.08,0.58,-0.49,-0.64,-0.13,0.99,0.22
8.02,-1.18,0.91,-0.55,-0.61,-0.05,0.82,0.06
8.059,-1.22,1.17,-0.6,-0.62,0.07,0.65,-0.15
8.098,-1.21,1.36,-0.64,-0.62,0.26,0.52,-0.38
8.138,-1.13,1.45,-0.73,-0.58,0.48,0.41,-0.62
8.177,-0.99,1.45,-0.84,-0.48,0.75,0.32,-0.84
8.216,-0.79,1.4,-0.95,-0.37,1.03,0.23,-1.02
8.256,-0.57,1.3,-1.04,-0.27,1.28,0.1,-1.16
8.295,-0.33,1.17,-1.05,-0.18,1.43,-0.07,-1.25
8.334,-0.1,0.98,-1.03,-0.05,1.49,-0.26,-1.27
8.373,0.15,0.71,-0.97,0.19,1.47,-0.47,-1.23
8.413,0.37,0.45,-0.93,0.56,1.35,-0.67,-1.14
8.452,0.59,0.16,-0.85,1.0,1.14,-0.84,-0.99
8.491,0.76,-0.12,-0.71,1.43,0.84,-0.96,-0.76
8.531,0.9,-0.37,-0.44,1.76,0.49,-1.02,-0.52
8.57,1.01,-0.59,-0.11,1.92,0.12,-1.04,-0.26
8.609,1.11,-0.76,0.31,1.84,-0.23,-1.02,0.01
8.649,1.19,-0.88,0.79,1.52,-0.55,-0.97,0.27
8.688,1.23,-0.96,1.33,1.01,-0.8,-0.91,0.51
8.727,1.23,-1.01,1.83,0.47,-1.03,-0.84,0.72
8.767,1.14,-1.02,2.11,0.06,-1.18,-0.73,0.9
8.806,0.97,-1.02,2.09,-0.24,-1.26,-0.59,1.0
8.845,0.73,-1.01,1.79,-0.52,-1.27,-0.4,1.05
8.885,0.48,-1.01,1.27,-0.69,-1.2,-0.16,1.06
8.924,0.22,-0.98,0.76,-0.76,-1.07,0.1,1.03
8.963,-0.02,-0.95,0.42,-0.79,-0.93,0.38,0.98
9.002,-0.22,-0.89,0.14,-0.8,-0.77,0.68,0.91
9.042,-0.39,-0.78,-0.07,-0.81,-0.59,0.94,0.84
9.081,-0.56,-0.62,-0.19,-0.82,-0.45,1.15,0.75
9.12,-0.71,-0.39,-0.26,-0.82,-0.34,1.25,0.64
9.16,-0.85,-0.1,-0.32,-0.78,-0.24,1.25,0.52
9.199,-0.97,0.22,-0.39,-0.71,-0.17,1.18,0.39
9.238,-1.08,0.57,-0.47,-0.63,-0.1,1.03,0.23
9.278,-1.16,0.88,-0.53,-0.59,-0.02,0.87,0.07
9.317,-1.21,1.17,-0.58,-0.59,0.09,0.7,-0.13
9.356,-1.22,1.36,-0.63,-0.6,0.26,0.55,-0.35
9.396,-1.14,1.46,-0.71,-0.58,0.47,0.43,-0.6
9.435,-1.0,1.47,-0.81,-0.49,0.72,0.32,-0.81
9.474,-0.8,1.44,-0.94,-0.37,1.0,0.22,-1.0
9.514,-0.58,1.34,-1.03,-0.27,1.27,0.1,-1.13
9.553,-0.34,1.2,-1.06,-0.17,1.43,-0.06,-1.22
9.592,-0.12,1.0,-1.03,-0.04,1.5,-0.24,-1.26
9.631,0.11,0.76,-0.99,0.18,1.48,-0.44,-1.22
9.671,0.35,0.49,-0.94,0.53,1.38,-0.64,-1.14
9.71,0.57,0.2,-0.86,0.97,1.19,-0.8,-1.0
9.749,0.73,-0.08,-0.72,1.41,0.9,-0.94,-0.81
9.789,0.89,-0.33,-0.47,1.76,0.54,-1.01,-0.57
9.828,1.0,-0.56,-0.12,1.92,0.15,-1.04,-0.33
9.867,1.11,-0.73,0.3,1.85,-0.21,-1.02,-0.07
9.907,1.18,-0.85,0.79,1.54,-0.52,-0.96,0.19
9.946,1.21,-0.95,1.32,1.06,-0.79,-0.9,0.42
9.985,1.21,-1.0,1.81,0.52,-1.01,-0.83,0.66
10.025,1.16,-1.01,2.09,0.1,-1.17,-0.73,0.85
10.064,0.99,-1.02,2.1,-0.21,-1.26,-0.6,0.98
10.103,0.76,-1.01,1.84,-0.5,-1.27,-0.44,1.05
10.142,0.5,-1.0,1.36,-0.68,-1.2,-0.22,1.09
10.182,0.26,-0.98,0.84,-0.76,-1.11,0.03,1.07
10.221,0.03,-0.95,0.47,-0.79,-0.96,0.32,1.01
10.26,-0.18,-0.89,0.19,-0.79,-0.79,0.62,0.96
10.3,-0.37,-0.79,-0.05,-0.8,-0.64,0.9,0.86
10.339,-0.54,-0.63,-0.19,-0.81,-0.49,1.14,0.75
10.378,-0.7,-0.42,-0.27,-0.82,-0.36,1.25,0.64
10.418,-0.84,-0.13,-0.33,-0.78,-0.26,1.26,0.49
10.457,-0.95,0.2,-0.4,-0.71,-0.17,1.19,0.36
10.496,-1.06,0.53,-0.47,-0.62,-0.1,1.06,0.22
10.536,-1.15,0.87,-0.51,-0.57,-0.01,0.9,0.06
10.575,-1.21,1.15,-0.53,-0.56,0.12,0.73,-0.11
10.614,-1.21,1.36,-0.58,-0.58,0.27,0.58,-0.32
10.654,-1.15,1.46,-0.64,-0.56,0.47,0.45,-0.52
10.693,-1.02,1.48,-0.76,-0.5,0.71,0.35,-0.75
10.732,-0.82,1.45,-0.9,-0.38,0.99,0.24,-0.93
10.771,-0.6,1.36,-1.02,-0.26,1.25,0.11,-1.08
10.811,-0.38,1.24,-1.07,-0.16,1.43,-0.05,-1.19
10.85,-0.15,1.05,-1.07,-0.04,1.5,-0.24,-1.23
10.889,0.09,0.81,-1.04,0.17,1.48,-0.43,-1.23
10.929,0.34,0.53,-1.0,0.49,1.39,-0.63,-1.16
10.968,0.55,0.24,-0.92,0.93,1.2,-0.8,-1.04
11.007,0.72,-0.04,-0.75,1.39,0.92,-0.95,-0.87
11.047,0.87,-0.3,-0.5,1.75,0.56,-1.03,-0.64
11.086,0.99,-0.54,-0.13,1.92,0.18,-1.04,-0.39
11.125,1.1,-0.71,0.3,1.84,-0.2,-1.03,-0.13
11.165,1.17,-0.85,0.79,1.54,-0.51,-0.97,0.14
11.204,1.21,-0.94,1.31,1.06,-0.79,-0.9,0.39
11.243,1.21,-1.01,1.78,0.54,-1.01,-0.8,0.62
11.283,1.17,-1.02,2.05,0.12,-1.18,-0.71,0.83
11.322,1.01,-1.02,2.09,-0.19,-1.27,-0.6,0.99
11.361,0.79,-1.01,1.89,-0.49,-1.28,-0.45,1.07
11.4,0.53,-1.0,1.46,-0.67,-1.22,-0.25,1.11
11.44,0.29,-0.98,0.95,-0.76,-1.12,0.0,1.1
11.479,0.04,-0.96,0.55,-0.78,-0.97,0.27,1.05
11.518,-0.17,-0.9,0.23,-0.78,-0.82,0.57,0.98
11.558,-0.34,-0.8,-0.04,-0.78,-0.66,0.86,0.87
11.597,-0.52,-0.65,-0.22,-0.79,-0.5,1.11,0.75
11.636,-0.67,-0.44,-0.31,-0.8,-0.38,1.24,0.62
11.676,-0.81,-0.17,-0.37,-0.78,-0.27,1.25,0.51
11.715,-0.94,0.15,-0.41,-0.71,-0.19,1.2,0.36
11.754,-1.05,0.5,-0.46,-0.62,-0.1,1.07,0.23
11.794,-1.14,0.83,-0.49,-0.57,-0.01,0.94,0.08
11.833,-1.2,1.14,-0.5,-0.56,0.11,0.76,-0.1
11.872,-1.21,1.36,-0.53,-0.58,0.26,0.62,-0.3
11.912,-1.15,1.47,-0.6,-0.58,0.47,0.46,-0.51
11.951,-1.02,1.5,-0.73,-0.52,0.71,0.35,-0.73
11.99,-0.84,1.47,-0.9,-0.42,0.99,0.23,-0.91
12.029,-0.63,1.38,-1.04,-0.29,1.25,0.1,-1.08
12.069,-0.4,1.26,-1.13,-0.18,1.45,-0.05,-1.19
12.108,-0.17,1.09,-1.13,-0.05,1.52,-0.22,-1.25
12.147,0.07,0.85,-1.1,0.15,1.49,-0.41,-1.25
12.187,0.3,0.57,-1.04,0.46,1.39,-0.61,-1.17
12.226,0.53,0.28,-0.94,0.9,1.2,-0.79,-1.06
12.265,0.72,0.0,-0.78,1.35,0.91,-0.94,-0.88
12.305,0.86,-0.27,-0.51,1.72,0.56,-1.04,-0.65
12.344,0.98,-0.49,-0.16,1.9,0.18,-1.07,-0.41
12.383,1.09,-0.68,0.26,1.83,-0.19,-1.04,-0.15
12.423,1.17,-0.83,0.74,1.54,-0.5,-0.98,0.11
12.462,1.2,-0.94,1.23,1.08,-0.77,-0.9,0.36
12.501,1.23,-1.0,1.69,0.57,-1.0,-0.82,0.6
12.541,1.18,-1.02,2.02,0.15,-1.18,-0.71,0.81
12.58,1.06,-1.02,2.11,-0.17,-1.27,-0.59,0.97
12.619,0.84,-1.01,1.95,-0.48,-1.28,-0.43,1.06
12.658,0.58,-1.01,1.54,-0.69,-1.24,-0.24,1.11
12.698,0.34,-1.0,1.01,-0.79,-1.13,0.0,1.12
12.737,0.09,-0.97,0.57,-0.82,-0.98,0.27,1.07
12.776,-0.12,-0.91,0.24,-0.82,-0.83,0.55,1.0
12.816,-0.32,-0.82,-0.05,-0.8,-0.66,0.82,0.91
12.855,-0.48,-0.67,-0.22,-0.8,-0.5,1.06,0.8
12.894,-0.64,-0.48,-0.31,-0.79,-0.38,1.21,0.66
12.934,-0.78,-0.23,-0.36,-0.76,-0.27,1.25,0.51
12.973,-0.91,0.1,-0.39,-0.69,-0.19,1.2,0.35
13.012,-1.01,0.45,-0.43,-0.6,-0.1,1.09,0.2
13.052,-1.12,0.8,-0.47,-0.54,-0.01,0.96,0.04
13.091,-1.19,1.1,-0.49,-0.54,0.11,0.79,-0.13
13.13,-1.21,1.35,-0.53,-0.57,0.26,0.63,-0.32
13.17,-1.16,1.47,-0.62,-0.59,0.44,0.48,-0.52
13.209,-1.04,1.51,-0.74,-0.56,0.7,0.35,-0.7
13.248,-0.86,1.47,-0.91,-0.48,0.97,0.23,-0.88
13.287,-0.65,1.39,-1.07,-0.36,1.24,0.1,-1.03
13.327,-0.41,1.28,-1.15,-0.23,1.43,-0.06,-1.15
13.366,-0.19,1.11,-1.15,-0.09,1.5,-0.24,-1.22
13.405,0.04,0.89,-1.11,0.12,1.5,-0.41,-1.23
13.445,0.29,0.62,-1.05,0.44,1.4,-0.61,-1.19
13.484,0.52,0.32,-0.97,0.88,1.2,-0.8,-1.08
13.523,0.7,0.03,-0.82,1.34,0.91,-0.95,-0.91
13.563,0.85,-0.23,-0.57,1.7,0.58,-1.04,-0.69
13.602,0.98,-0.47,-0.23,1.87,0.19,-1.08,-0.44
13.641,1.09,-0.66,0.2,1.81,-0.17,-1.05,-0.17
13.681,1.16,-0.82,0.66,1.54,-0.5,-0.99,0.1
13.72,1.21,-0.92,1.17,1.11,-0.78,-0.91,0.35
13.759,1.24,-1.01,1.65,0.62,-1.01,-0.82,0.6
13.799,1.2,-1.03,2.02,0.21,-1.18,-0.71,0.8
13.838,1.09,-1.04,2.12,-0.12,-1.28,-0.58,0.97
13.877,0.87,-1.03,1.99,-0.45,-1.31,-0.43,1.06
13.916,0.62,-1.03,1.59,-0.69,-1.25,-0.22,1.11
13.956,0.36,-1.02,1.05,-0.81,-1.14,0.0,1.12
13.995,0.12,-0.98,0.61,-0.85,-0.99,0.26,1.09
14.034,-0.09,-0.92,0.27,-0.84,-0.83,0.54,1.01
14.074,-0.29,-0.84,0.0,-0.82,-0.66,0.8,0.93
14.113,-0.45,-0.71,-0.2,-0.81,-0.52,1.03,0.81
14.152,-0.61,-0.53,-0.3,-0.79,-0.4,1.19,0.66
14.192,-0.75,-0.29,-0.36,-0.75,-0.28,1.25,0.51
14.231,-0.88,0.03,-0.4,-0.68,-0.21,1.21,0.34
14.27,-1.0,0.38,-0.44,-0.59,-0.12,1.11,0.19
14.31,-1.11,0.74,-0.49,-0.53,-0.02,0.96,0.03
14.349,-1.18,1.08,-0.52,-0.53,0.08,0.8,-0.15
14.388,-1.2,1.33,-0.55,-0.58,0.23,0.63,-0.33
14.428,-1.16,1.46,-0.63,-0.62,0.43,0.49,-0.52
14.467,-1.05,1.5,-0.75,-0.62,0.69,0.37,-0.73
14.506,-0.86,1.47,-0.91,-0.55,0.96,0.24,-0.9
14.545,-0.66,1.4,-1.05,-0.43,1.22,0.11,-1.04
14.585,-0.44,1.3,-1.14,-0.28,1.42,-0.05,-1.15
14.624,-0.22,1.14,-1.15,-0.11,1.5,-0.22,-1.22
14.663,0.02,0.92,-1.12,0.11,1.5,-0.41,-1.23
14.703,0.25,0.65,-1.06,0.43,1.4,-0.61,-1.19
14.742,0.49,0.36,-1.0,0.85,1.2,-0.8,-1.08
14.781,0.69,0.08,-0.86,1.29,0.93,-0.96,-0.9
14.821,0.84,-0.2,-0.63,1.64,0.61,-1.05,-0.7
14.86,0.97,-0.44,-0.29,1.83,0.22,-1.09,-0.44
14.899,1.09,-0.63,0.13,1.81,-0.15,-1.08,-0.18
14.939,1.16,-0.79,0.61,1.58,-0.48,-1.02,0.08
14.978,1.21,-0.92,1.1,1.19,-0.77,-0.94,0.34
15.017,1.24,-1.01,1.6,0.7,-1.0,-0.84,0.56
15.056,1.21,-1.04,1.97,0.25,-1.19,-0.73,0.77
15.096,1.11,-1.06,2.12,-0.12,-1.29,-0.6,0.93
15.135,0.92,-1.04,2.02,-0.45,-1.32,-0.44,1.05
15.174,0.66,-1.04,1.65,-0.71,-1.28,-0.24,1.11
15.214,0.41,-1.03,1.12,-0.84,-1.17,-0.01,1.12
15.253,0.16,-1.01,0.64,-0.88,-1.03,0.25,1.1
