Time(s),wg1(cm),wg2(cm),wg3(cm),wg4(cm),wg5(cm),wg6(cm),wg7(cm)
0.039,-0.08,0.01,-0.29,0.45,0.0,0.88,-0.18
0.079,0.04,-0.1,-0.33,0.93,-0.13,1.0,-0.16
0.118,0.18,-0.2,-0.39,1.49,-0.26,1.1,-0.14
0.157,0.31,-0.31,-0.44,2.01,-0.35,1.16,-0.13
0.197,0.44,-0.42,-0.5,2.26,-0.42,1.18,-0.12
0.236,0.56,-0.52,-0.55,2.23,-0.48,1.19,-0.11
0.275,0.65,-0.6,-0.61,1.96,-0.51,1.16,-0.07
0.314,0.71,-0.7,-0.66,1.51,-0.56,1.06,-0.05
0.354,0.75,-0.77,-0.73,0.97,-0.6,0.87,-0.01
0.393,0.79,-0.84,-0.79,0.53,-0.63,0.59,0.02
0.432,0.86,-0.9,-0.87,0.26,-0.65,0.24,0.03
0.472,0.92,-0.95,-0.93,0.03,-0.65,-0.13,0.04
0.511,0.97,-0.99,-0.97,-0.11,-0.65,-0.46,0.02
0.55,0.99,-1.02,-1.02,-0.12,-0.63,-0.73,0.0
0.59,1.02,-1.02,-1.04,-0.08,-0.6,-0.93,-0.05
0.629,1.02,-1.03,-1.06,-0.02,-0.57,-1.08,-0.11
0.668,0.98,-1.02,-1.07,0.05,-0.54,-1.11,-0.14
0.708,0.94,-1.0,-1.04,0.13,-0.5,-1.09,-0.19
0.747,0.87,-0.97,-0.98,0.19,-0.46,-0.98,-0.23
0.786,0.8,-0.93,-0.91,0.21,-0.4,-0.85,-0.26
0.826,0.71,-0.88,-0.83,0.19,-0.34,-0.67,-0.26
0.865,0.59,-0.83,-0.74,0.13,-0.27,-0.48,-0.19
0.904,0.45,-0.76,-0.61,0.05,-0.2,-0.29,-0.05
0.943,0.31,-0.66,-0.41,-0.06,-0.08,-0.1,0.15
0.983,0.17,-0.57,-0.13,-0.17,0.08,0.08,0.4
1.022,0.03,-0.46,0.23,-0.29,0.33,0.24,0.68
1.061,-0.11,-0.31,0.65,-0.37,0.64,0.35,1.02
1.101,-0.25,-0.17,1.08,-0.43,1.01,0.42,1.36
1.14,-0.37,0.01,1.46,-0.47,1.4,0.4,1.65
1.179,-0.49,0.2,1.74,-0.5,1.76,0.3,1.8
1.219,-0.58,0.4,1.86,-0.53,1.98,0.12,1.79
1.258,-0.65,0.6,1.81,-0.55,2.05,-0.11,1.63
1.297,-0.71,0.79,1.64,-0.56,1.94,-0.37,1.36
1.337,-0.76,0.97,1.37,-0.56,1.61,-0.61,0.98
1.376,-0.78,1.12,1.11,-0.56,1.13,-0.81,0.55
1.415,-0.81,1.2,0.93,-0.57,0.61,-0.97,0.09
1.455,-0.85,1.24,0.77,-0.61,0.15,-1.08,-0.33
1.494,-0.87,1.24,0.62,-0.67,-0.29,-1.14,-0.69
1.533,-0.9,1.21,0.52,-0.73,-0.61,-1.11,-0.93
1.572,-0.91,1.18,0.46,-0.78,-0.78,-1.0,-1.07
1.612,-0.91,1.13,0.41,-0.82,-0.88,-0.81,-1.15
1.651,-0.91,1.06,0.34,-0.83,-0.87,-0.54,-1.14
1.69,-0.9,0.97,0.29,-0.84,-0.76,-0.23,-1.08
1.73,-0.87,0.89,0.2,-0.86,-0.57,0.1,-0.96
1.769,-0.83,0.78,0.12,-0.88,-0.34,0.4,-0.83
1.808,-0.77,0.67,0.03,-0.88,-0.12,0.64,-0.69
1.848,-0.68,0.57,-0.04,-0.83,0.07,0.77,-0.57
1.887,-0.59,0.46,-0.11,-0.71,0.2,0.8,-0.48
1.926,-0.49,0.35,-0.18,-0.54,0.24,0.79,-0.39
1.966,-0.37,0.25,-0.21,-0.32,0.22,0.77,-0.33
2.005,-0.26,0.16,-0.25,-0.05,0.15,0.78,-0.28
2.044,-0.15,0.06,-0.29,0.28,0.05,0.84,-0.23
2.084,0.0,-0.05,-0.33,0.72,-0.09,0.94,-0.19
2.123,0.12,-0.16,-0.39,1.27,-0.22,1.04,-0.14
2.162,0.26,-0.25,-0.44,1.84,-0.34,1.12,-0.11
2.201,0.41,-0.36,-0.5,2.22,-0.43,1.17,-0.1
2.241,0.51,-0.47,-0.55,2.28,-0.49,1.18,-0.07
2.28,0.62,-0.57,-0.6,2.11,-0.53,1.18,-0.06
2.319,0.69,-0.66,-0.64,1.73,-0.56,1.12,-0.05
2.359,0.73,-0.75,-0.7,1.22,-0.58,0.98,-0.03
2.398,0.79,-0.83,-0.75,0.72,-0.61,0.75,0.0
2.437,0.85,-0.89,-0.82,0.37,-0.63,0.43,0.02
2.477,0.91,-0.94,-0.88,0.14,-0.63,0.08,0.04
2.516,0.97,-0.97,-0.94,-0.05,-0.63,-0.29,0.03
2.555,1.0,-1.01,-0.98,-0.11,-0.61,-0.61,0.02
2.595,1.02,-1.02,-1.03,-0.09,-0.58,-0.86,-0.03
2.634,1.02,-1.03,-1.06,-0.05,-0.56,-1.04,-0.09
2.673,0.99,-1.03,-1.07,0.0,-0.53,-1.15,-0.13
2.713,0.96,-1.02,-1.06,0.06,-0.49,-1.15,-0.17
2.752,0.91,-1.0,-1.02,0.12,-0.44,-1.08,-0.19
2.791,0.84,-0.97,-0.95,0.16,-0.4,-0.95,-0.23
2.83,0.75,-0.93,-0.87,0.17,-0.35,-0.78,-0.24
2.87,0.64,-0.87,-0.79,0.13,-0.3,-0.6,-0.2
2.909,0.51,-0.81,-0.68,0.07,-0.26,-0.41,-0.1
2.948,0.37,-0.72,-0.53,-0.02,-0.18,-0.2,0.08
2.988,0.24,-0.63,-0.29,-0.11,-0.04,0.01,0.31
3.027,0.09,-0.51,0.03,-0.22,0.19,0.18,0.58
3.066,-0.06,-0.37,0.43,-0.31,0.48,0.34,0.86
3.106,-0.2,-0.23,0.87,-0.38,0.83,0.42,1.18
3.145,-0.32,-0.07,1.28,-0.43,1.22,0.43,1.52
3.184,-0.44,0.11,1.64,-0.47,1.62,0.36,1.75
3.224,-0.54,0.3,1.83,-0.52,1.94,0.21,1.81
3.263,-0.63,0.49,1.87,-0.56,2.09,-0.01,1.73
3.302,-0.7,0.69,1.76,-0.58,2.06,-0.26,1.5
3.342,-0.74,0.87,1.53,-0.59,1.84,-0.52,1.16
3.381,-0.77,1.05,1.24,-0.6,1.39,-0.77,0.76
3.42,-0.8,1.18,1.01,-0.6,0.83,-0.96,0.31
3.459,-0.84,1.24,0.84,-0.62,0.31,-1.1,-0.17
3.499,-0.87,1.26,0.69,-0.66,-0.15,-1.16,-0.55
3.538,-0.9,1.25,0.55,-0.72,-0.54,-1.15,-0.84
3.577,-0.91,1.21,0.46,-0.77,-0.77,-1.05,-1.03
3.617,-0.9,1.15,0.41,-0.79,-0.89,-0.89,-1.12
3.656,-0.91,1.08,0.37,-0.81,-0.9,-0.64,-1.15
3.695,-0.9,1.0,0.3,-0.82,-0.82,-0.33,-1.12
3.735,-0.88,0.91,0.23,-0.83,-0.65,0.01,-1.02
3.774,-0.86,0.82,0.14,-0.84,-0.42,0.31,-0.9
3.813,-0.8,0.72,0.08,-0.86,-0.19,0.58,-0.76
3.853,-0.72,0.61,0.0,-0.84,0.02,0.74,-0.64
3.892,-0.61,0.53,-0.08,-0.77,0.16,0.81,-0.54
3.931,-0.52,0.41,-0.14,-0.63,0.22,0.81,-0.44
3.971,-0.42,0.31,-0.2,-0.43,0.22,0.78,-0.36
4.01,-0.31,0.19,-0.24,-0.2,0.16,0.77,-0.29
4.049,-0.18,0.1,-0.28,0.08,0.05,0.78,-0.23
4.088,-0.06,-0.01,-0.32,0.47,-0.07,0.85,-0.17
4.128,0.07,-0.12,-0.37,0.98,-0.2,0.96,-0.14
4.167,0.22,-0.22,-0.43,1.57,-0.3,1.06,-0.11
4.206,0.36,-0.32,-0.5,2.1,-0.4,1.16,-0.11
4.246,0.49,-0.42,-0.55,2.33,-0.44,1.21,-0.11
4.285,0.59,-0.53,-0.6,2.27,-0.49,1.21,-0.1
4.324,0.68,-0.61,-0.65,1.96,-0.53,1.17,-0.1
4.364,0.73,-0.7,-0.7,1.49,-0.55,1.09,-0.07
4.403,0.78,-0.78,-0.75,0.96,-0.57,0.9,-0.04
4.442,0.83,-0.87,-0.79,0.51,-0.6,0.61,0.01
4.482,0.9,-0.93,-0.85,0.24,-0.62,0.25,0.04
4.521,0.94,-0.97,-0.89,0.01,-0.63,-0.11,0.07
4.56,0.99,-1.01,-0.95,-0.11,-0.63,-0.47,0.06
4.6,1.02,-1.02,-1.0,-0.13,-0.62,-0.77,0.03
4.639,1.02,-1.03,-1.03,-0.11,-0.58,-0.99,-0.03
4.678,1.02,-1.03,-1.05,-0.06,-0.56,-1.14,-0.07
4.717,0.99,-1.02,-1.05,0.0,-0.51,-1.19,-0.13
4.757,0.93,-0.99,-1.03,0.07,-0.48,-1.15,-0.17
4.796,0.86,-0.96,-0.97,0.13,-0.42,-1.05,-0.2
4.835,0.78,-0.94,-0.91,0.15,-0.37,-0.9,-0.23
4.875,0.69,-0.9,-0.83,0.14,-0.33,-0.71,-0.22
4.914,0.56,-0.84,-0.75,0.09,-0.29,-0.51,-0.16
4.953,0.43,-0.77,-0.63,0.02,-0.22,-0.29,-0.03
4.993,0.29,-0.69,-0.43,-0.06,-0.11,-0.08,0.19
5.032,0.15,-0.59,-0.15,-0.16,0.08,0.12,0.42
5.071,0.01,-0.46,0.22,-0.26,0.35,0.29,0.7
5.111,-0.15,-0.31,0.66,-0.35,0.69,0.43,1.03
5.15,-0.27,-0.14,1.11,-0.41,1.06,0.48,1.38
5.189,-0.4,0.05,1.53,-0.46,1.45,0.45,1.69
5.228,-0.5,0.23,1.8,-0.5,1.8,0.33,1.83
5.268,-0.59,0.42,1.9,-0.54,2.03,0.14,1.82
5.307,-0.66,0.61,1.86,-0.57,2.09,-0.13,1.67
5.346,-0.71,0.79,1.65,-0.59,1.96,-0.41,1.35
5.386,-0.77,0.96,1.36,-0.6,1.63,-0.68,0.96
5.425,-0.8,1.11,1.09,-0.61,1.13,-0.91,0.52
5.464,-0.84,1.2,0.92,-0.62,0.57,-1.09,0.03
5.504,-0.86,1.26,0.75,-0.65,0.08,-1.18,-0.42
5.543,-0.88,1.26,0.6,-0.71,-0.35,-1.19,-0.76
5.582,-0.88,1.24,0.5,-0.75,-0.67,-1.12,-0.99
5.622,-0.91,1.19,0.43,-0.79,-0.83,-0.96,-1.13
5.661,-0.91,1.14,0.38,-0.8,-0.91,-0.73,-1.19
5.7,-0.91,1.05,0.31,-0.8,-0.9,-0.45,-1.18
5.74,-0.9,0.95,0.24,-0.81,-0.78,-0.1,-1.09
5.779,-0.87,0.84,0.18,-0.82,-0.6,0.21,-0.96
5.818,-0.81,0.75,0.09,-0.84,-0.35,0.49,-0.81
5.857,-0.73,0.65,0.01,-0.84,-0.12,0.69,-0.67
5.897,-0.65,0.55,-0.05,-0.79,0.07,0.79,-0.54
5.936,-0.56,0.44,-0.12,-0.68,0.2,0.81,-0.44
5.975,-0.45,0.35,-0.18,-0.51,0.24,0.77,-0.36
6.015,-0.34,0.24,-0.23,-0.3,0.22,0.73,-0.3
6.054,-0.24,0.13,-0.26,-0.05,0.14,0.73,-0.24
6.093,-0.11,0.04,-0.32,0.27,0.02,0.78,-0.19
6.133,0.02,-0.07,-0.37,0.71,-0.11,0.9,-0.17
6.172,0.16,-0.18,-0.43,1.27,-0.23,1.03,-0.14
6.211,0.31,-0.28,-0.5,1.86,-0.34,1.15,-0.13
6.251,0.45,-0.39,-0.55,2.26,-0.41,1.23,-0.13
6.29,0.57,-0.48,-0.6,2.34,-0.47,1.25,-0.13
6.329,0.64,-0.58,-0.64,2.16,-0.51,1.25,-0.12
6.369,0.71,-0.66,-0.67,1.76,-0.54,1.17,-0.09
6.408,0.77,-0.76,-0.72,1.24,-0.56,1.02,-0.04
6.447,0.83,-0.84,-0.75,0.71,-0.58,0.75,0.0
6.486,0.89,-0.9,-0.81,0.35,-0.6,0.41,0.04
6.526,0.94,-0.96,-0.86,0.09,-0.62,0.03,0.08
6.565,0.98,-1.0,-0.92,-0.1,-0.62,-0.34,0.09
6.604,1.0,-1.02,-0.97,-0.17,-0.61,-0.66,0.08
6.644,1.02,-1.02,-1.02,-0.16,-0.6,-0.92,0.03
6.683,1.03,-1.02,-1.04,-0.12,-0.57,-1.11,-0.03
6.722,1.0,-1.01,-1.06,-0.06,-0.55,-1.19,-0.09
6.762,0.96,-0.99,-1.04,0.02,-0.5,-1.19,-0.13
6.801,0.89,-0.97,-0.99,0.1,-0.47,-1.11,-0.18
6.84,0.8,-0.94,-0.93,0.15,-0.41,-0.97,-0.22
6.88,0.71,-0.9,-0.86,0.16,-0.35,-0.78,-0.24
6.919,0.59,-0.85,-0.78,0.13,-0.3,-0.59,-0.22
6.958,0.48,-0.81,-0.67,0.07,-0.25,-0.39,-0.13
6.998,0.34,-0.72,-0.52,0.0,-0.15,-0.17,0.03
7.037,0.19,-0.63,-0.28,-0.11,-0.01,0.02,0.26
7.076,0.05,-0.51,0.04,-0.22,0.22,0.2,0.54
7.115,-0.08,-0.37,0.46,-0.32,0.52,0.35,0.86
7.155,-0.22,-0.19,0.93,-0.39,0.87,0.45,1.23
7.194,-0.36,-0.01,1.37,-0.45,1.27,0.48,1.6
7.233,-0.46,0.18,1.72,-0.49,1.64,0.41,1.83
7.273,-0.56,0.36,1.9,-0.52,1.95,0.25,1.9
7.312,-0.61,0.54,1.92,-0.56,2.09,0.03,1.81
7.351,-0.67,0.72,1.78,-0.58,2.05,-0.23,1.55
7.391,-0.73,0.89,1.5,-0.59,1.83,-0.52,1.17
7.43,-0.79,1.05,1.19,-0.59,1.39,-0.77,0.73
7.469,-0.84,1.18,0.96,-0.6,0.84,-0.98,0.26
7.509,-0.86,1.24,0.81,-0.62,0.31,-1.11,-0.24
7.548,-0.87,1.28,0.64,-0.66,-0.14,-1.17,-0.64
7.587,-0.87,1.25,0.52,-0.71,-0.54,-1.15,-0.94
7.627,-0.88,1.2,0.45,-0.76,-0.77,-1.05,-1.12
7.666,-0.9,1.15,0.4,-0.79,-0.89,-0.89,-1.21
7.705,-0.9,1.08,0.35,-0.8,-0.92,-0.64,-1.22
7.744,-0.88,0.99,0.29,-0.81,-0.87,-0.33,-1.16
7.784,-0.86,0.89,0.22,-0.81,-0.71,0.01,-1.03
7.823,-0.83,0.78,0.12,-0.82,-0.5,0.34,-0.89
7.862,-0.77,0.69,0.02,-0.83,-0.26,0.6,-0.73
7.902,-0.68,0.59,-0.07,-0.8,-0.04,0.77,-0.58
7.941,-0.59,0.48,-0.13,-0.72,0.13,0.83,-0.46
7.98,-0.49,0.37,-0.18,-0.59,0.23,0.81,-0.37
8.02,-0.38,0.25,-0.21,-0.39,0.24,0.78,-0.31
8.059,-0.27,0.16,-0.23,-0.15,0.21,0.77,-0.26
8.098,-0.16,0.06,-0.26,0.13,0.12,0.8,-0.22
8.138,-0.04,-0.04,-0.31,0.5,-0.01,0.87,-0.18
8.177,0.11,-0.12,-0.36,0.99,-0.14,0.98,-0.16
8.216,0.26,-0.22,-0.44,1.58,-0.26,1.1,-0.14
8.256,0.42,-0.32,-0.52,2.11,-0.35,1.19,-0.14
8.295,0.53,-0.42,-0.57,2.36,-0.42,1.25,-0.13
8.334,0.63,-0.53,-0.63,2.31,-0.47,1.25,-0.13
8.373,0.69,-0.64,-0.67,2.0,-0.5,1.21,-0.11
8.413,0.76,-0.73,-0.71,1.51,-0.55,1.1,-0.06
8.452,0.8,-0.83,-0.74,0.95,-0.57,0.9,-0.01
8.491,0.87,-0.89,-0.77,0.47,-0.6,0.59,0.04
8.531,0.92,-0.94,-0.83,0.18,-0.62,0.23,0.09
8.57,0.97,-0.97,-0.88,-0.06,-0.63,-0.15,0.1
8.609,0.99,-0.99,-0.93,-0.19,-0.63,-0.51,0.1
8.649,1.02,-0.99,-0.97,-0.19,-0.62,-0.8,0.07
8.688,1.02,-0.99,-1.0,-0.15,-0.6,-1.04,0.02
8.727,1.0,-0.99,-1.04,-0.09,-0.56,-1.19,-0.04
8.767,0.96,-0.97,-1.03,0.0,-0.53,-1.25,-0.1
8.806,0.91,-0.96,-0.99,0.08,-0.48,-1.21,-0.16
8.845,0.83,-0.95,-0.95,0.15,-0.41,-1.09,-0.22
8.885,0.75,-0.93,-0.88,0.18,-0.36,-0.91,-0.26
8.924,0.64,-0.89,-0.82,0.16,-0.32,-0.71,-0.28
8.963,0.51,-0.83,-0.73,0.11,-0.26,-0.48,-0.23
9.002,0.37,-0.76,-0.6,0.03,-0.19,-0.27,-0.1
9.042,0.25,-0.65,-0.4,-0.06,-0.07,-0.05,0.1
9.081,0.11,-0.53,-0.09,-0.17,0.1,0.12,0.38
9.12,-0.04,-0.39,0.3,-0.27,0.37,0.3,0.7
9.16,-0.18,-0.23,0.77,-0.35,0.71,0.42,1.06
9.199,-0.31,-0.07,1.23,-0.41,1.08,0.49,1.47
9.238,-0.43,0.11,1.61,-0.46,1.48,0.47,1.8
9.278,-0.51,0.28,1.87,-0.49,1.84,0.35,1.93
9.317,-0.58,0.47,1.93,-0.53,2.05,0.16,1.9
9.356,-0.65,0.65,1.87,-0.56,2.11,-0.09,1.69
9.396,-0.72,0.84,1.64,-0.58,1.96,-0.36,1.35
9.435,-0.78,1.02,1.33,-0.59,1.61,-0.64,0.92
9.474,-0.81,1.17,1.06,-0.59,1.1,-0.86,0.46
9.514,-0.84,1.23,0.88,-0.59,0.54,-1.03,-0.04
9.553,-0.84,1.25,0.71,-0.62,0.05,-1.14,-0.49
9.592,-0.85,1.24,0.55,-0.67,-0.39,-1.17,-0.83
9.631,-0.87,1.21,0.45,-0.72,-0.71,-1.12,-1.04
9.671,-0.9,1.18,0.4,-0.77,-0.88,-0.99,-1.16
9.71,-0.9,1.12,0.37,-0.79,-0.95,-0.79,-1.21
9.749,-0.88,1.05,0.32,-0.8,-0.92,-0.51,-1.18
9.789,-0.86,0.95,0.27,-0.81,-0.8,-0.18,-1.08
9.828,-0.83,0.84,0.18,-0.83,-0.61,0.16,-0.95
9.867,-0.78,0.71,0.08,-0.84,-0.37,0.47,-0.8
9.907,-0.71,0.6,-0.02,-0.84,-0.14,0.69,-0.65
9.946,-0.63,0.49,-0.1,-0.79,0.06,0.81,-0.55
9.985,-0.52,0.4,-0.15,-0.67,0.19,0.85,-0.45
10.025,-0.4,0.31,-0.21,-0.49,0.24,0.81,-0.38
10.064,-0.3,0.23,-0.23,-0.25,0.23,0.8,-0.32
10.103,-0.19,0.13,-0.25,0.02,0.17,0.81,-0.26
10.142,-0.08,0.05,-0.29,0.37,0.08,0.87,-0.22
10.182,0.05,-0.05,-0.33,0.82,-0.06,0.97,-0.17
10.221,0.22,-0.17,-0.4,1.38,-0.18,1.07,-0.13
10.26,0.37,-0.29,-0.47,1.96,-0.29,1.17,-0.12
10.3,0.5,-0.41,-0.53,2.32,-0.36,1.23,-0.11
10.339,0.6,-0.52,-0.58,2.36,-0.43,1.24,-0.1
10.378,0.68,-0.6,-0.63,2.13,-0.49,1.22,-0.09
10.418,0.73,-0.7,-0.67,1.7,-0.53,1.13,-0.06
10.457,0.79,-0.77,-0.72,1.16,-0.56,0.97,-0.01
10.496,0.85,-0.83,-0.75,0.65,-0.6,0.72,0.03
10.536,0.9,-0.89,-0.81,0.29,-0.63,0.37,0.07
10.575,0.96,-0.93,-0.85,0.04,-0.65,0.01,0.09
10.614,0.99,-0.95,-0.91,-0.16,-0.65,-0.36,0.08
10.654,1.02,-0.97,-0.95,-0.23,-0.64,-0.68,0.06
10.693,1.02,-0.99,-0.99,-0.2,-0.61,-0.95,0.02
10.732,1.0,-1.0,-1.02,-0.14,-0.57,-1.14,-0.03
10.771,0.97,-1.0,-1.03,-0.07,-0.54,-1.22,-0.06
10.811,0.92,-0.97,-1.0,0.02,-0.49,-1.23,-0.11
10.85,0.86,-0.96,-0.95,0.12,-0.43,-1.15,-0.17
10.889,0.78,-0.93,-0.89,0.18,-0.37,-1.0,-0.23
10.929,0.66,-0.88,-0.83,0.19,-0.33,-0.81,-0.26
10.968,0.53,-0.82,-0.75,0.16,-0.28,-0.61,-0.25
11.007,0.41,-0.75,-0.65,0.09,-0.22,-0.4,-0.16
11.047,0.29,-0.65,-0.47,0.0,-0.14,-0.17,0.01
11.086,0.15,-0.55,-0.21,-0.11,0.01,0.04,0.23
11.125,0.01,-0.43,0.16,-0.22,0.24,0.23,0.53
11.165,-0.12,-0.29,0.61,-0.32,0.56,0.39,0.86
11.204,-0.26,-0.14,1.08,-0.4,0.94,0.48,1.24
11.243,-0.37,0.04,1.51,-0.44,1.35,0.49,1.63
11.283,-0.46,0.2,1.81,-0.47,1.74,0.43,1.87
11.322,-0.54,0.41,1.93,-0.51,2.02,0.28,1.93
11.361,-0.61,0.59,1.9,-0.53,2.11,0.04,1.82
11.4,-0.68,0.81,1.72,-0.56,2.04,-0.23,1.55
11.44,-0.74,0.99,1.43,-0.58,1.76,-0.52,1.16
11.479,-0.78,1.13,1.14,-0.59,1.29,-0.78,0.71
11.518,-0.81,1.21,0.93,-0.59,0.73,-0.98,0.22
11.558,-0.83,1.25,0.77,-0.62,0.22,-1.11,-0.26
11.597,-0.84,1.24,0.61,-0.66,-0.25,-1.18,-0.68
11.636,-0.86,1.23,0.48,-0.71,-0.63,-1.16,-0.96
11.676,-0.87,1.19,0.41,-0.76,-0.85,-1.08,-1.14
11.715,-0.87,1.15,0.35,-0.8,-0.95,-0.9,-1.22
11.754,-0.87,1.08,0.32,-0.81,-0.96,-0.65,-1.23
11.794,-0.86,1.0,0.28,-0.81,-0.87,-0.34,-1.18
11.833,-0.83,0.88,0.21,-0.81,-0.69,0.01,-1.06
11.872,-0.79,0.77,0.12,-0.83,-0.46,0.35,-0.9
11.912,-0.73,0.65,0.03,-0.83,-0.21,0.62,-0.74
11.951,-0.65,0.54,-0.07,-0.81,0.01,0.8,-0.61
11.99,-0.54,0.43,-0.13,-0.72,0.16,0.86,-0.5
12.029,-0.45,0.35,-0.19,-0.57,0.24,0.85,-0.41
12.069,-0.34,0.26,-0.23,-0.35,0.26,0.83,-0.32
12.108,-0.24,0.18,-0.25,-0.07,0.21,0.81,-0.26
12.147,-0.12,0.1,-0.28,0.25,0.12,0.86,-0.2
12.187,0.01,0.0,-0.31,0.66,-0.01,0.94,-0.17
12.226,0.15,-0.11,-0.36,1.19,-0.14,1.05,-0.13
12.265,0.31,-0.23,-0.43,1.8,-0.26,1.13,-0.12
12.305,0.45,-0.35,-0.5,2.27,-0.34,1.19,-0.12
12.344,0.57,-0.46,-0.55,2.4,-0.41,1.23,-0.11
12.383,0.65,-0.57,-0.61,2.24,-0.46,1.22,-0.1
12.423,0.71,-0.66,-0.64,1.84,-0.49,1.16,-0.07
12.462,0.77,-0.75,-0.68,1.31,-0.53,1.03,-0.04
12.501,0.82,-0.82,-0.73,0.78,-0.57,0.81,0.02
12.541,0.87,-0.87,-0.77,0.37,-0.62,0.5,0.06
12.58,0.93,-0.9,-0.84,0.12,-0.65,0.14,0.09
12.619,0.97,-0.94,-0.91,-0.1,-0.68,-0.23,0.09
12.658,1.0,-0.96,-0.95,-0.2,-0.68,-0.56,0.07
12.698,1.0,-0.99,-0.99,-0.19,-0.65,-0.84,0.02
12.737,1.0,-1.0,-1.03,-0.15,-0.62,-1.05,-0.03
12.776,0.97,-0.99,-1.04,-0.1,-0.57,-1.19,-0.07
12.816,0.93,-0.99,-1.03,-0.02,-0.51,-1.23,-0.11
12.855,0.89,-0.97,-0.97,0.07,-0.46,-1.18,-0.16
12.894,0.8,-0.94,-0.92,0.15,-0.39,-1.08,-0.2
12.934,0.7,-0.9,-0.85,0.19,-0.32,-0.91,-0.24
12.973,0.59,-0.84,-0.79,0.18,-0.27,-0.71,-0.24
13.012,0.46,-0.78,-0.7,0.13,-0.22,-0.48,-0.18
13.052,0.34,-0.7,-0.54,0.05,-0.15,-0.27,-0.04
13.091,0.21,-0.6,-0.32,-0.05,-0.02,-0.03,0.16
13.13,0.07,-0.48,0.01,-0.16,0.17,0.17,0.42
13.17,-0.06,-0.35,0.45,-0.27,0.45,0.35,0.72
13.209,-0.19,-0.19,0.93,-0.36,0.8,0.47,1.06
13.248,-0.32,-0.02,1.38,-0.44,1.2,0.52,1.45
13.287,-0.42,0.14,1.74,-0.48,1.61,0.47,1.77
13.327,-0.5,0.32,1.91,-0.51,1.95,0.35,1.9
13.366,-0.58,0.52,1.93,-0.54,2.12,0.14,1.88
13.405,-0.64,0.71,1.8,-0.56,2.11,-0.13,1.69
13.445,-0.7,0.9,1.53,-0.58,1.9,-0.41,1.36
13.484,-0.74,1.06,1.23,-0.59,1.47,-0.7,0.93
13.523,-0.78,1.18,0.99,-0.59,0.9,-0.92,0.46
13.563,-0.8,1.24,0.82,-0.6,0.34,-1.09,-0.04
13.602,-0.81,1.25,0.65,-0.64,-0.13,-1.17,-0.5
13.641,-0.84,1.24,0.51,-0.69,-0.54,-1.18,-0.86
13.681,-0.85,1.2,0.42,-0.75,-0.81,-1.12,-1.09
13.72,-0.86,1.17,0.37,-0.79,-0.92,-0.98,-1.22
13.759,-0.86,1.11,0.34,-0.81,-0.95,-0.76,-1.27
13.799,-0.86,1.02,0.3,-0.82,-0.89,-0.46,-1.25
13.838,-0.84,0.93,0.25,-0.82,-0.74,-0.11,-1.14
13.877,-0.8,0.81,0.17,-0.83,-0.51,0.23,-1.0
13.916,-0.74,0.7,0.08,-0.83,-0.27,0.54,-0.83
13.956,-0.68,0.59,-0.02,-0.82,-0.05,0.75,-0.69
13.995,-0.59,0.49,-0.12,-0.76,0.12,0.85,-0.56
14.034,-0.49,0.4,-0.18,-0.63,0.22,0.87,-0.45
14.074,-0.37,0.31,-0.22,-0.42,0.24,0.84,-0.36
14.113,-0.26,0.23,-0.25,-0.17,0.22,0.83,-0.28
14.152,-0.16,0.14,-0.26,0.14,0.14,0.84,-0.22
14.192,-0.04,0.05,-0.29,0.51,0.03,0.91,-0.17
14.231,0.09,-0.07,-0.33,1.0,-0.09,1.02,-0.12
14.27,0.24,-0.19,-0.39,1.59,-0.22,1.11,-0.1
14.31,0.41,-0.3,-0.45,2.14,-0.33,1.19,-0.1
14.349,0.53,-0.41,-0.52,2.39,-0.4,1.23,-0.1
14.388,0.63,-0.52,-0.58,2.32,-0.47,1.23,-0.09
14.428,0.69,-0.63,-0.64,1.99,-0.5,1.18,-0.09
14.467,0.73,-0.71,-0.68,1.47,-0.54,1.07,-0.05
14.506,0.8,-0.78,-0.73,0.94,-0.57,0.88,-0.03
14.545,0.86,-0.85,-0.77,0.49,-0.61,0.6,0.02
14.585,0.91,-0.9,-0.83,0.2,-0.63,0.25,0.06
14.624,0.96,-0.94,-0.88,-0.03,-0.67,-0.11,0.07
14.663,0.99,-0.97,-0.94,-0.17,-0.68,-0.47,0.07
14.703,1.02,-0.99,-0.97,-0.19,-0.67,-0.77,0.04
14.742,1.02,-1.0,-1.02,-0.15,-0.63,-1.0,0.0
14.781,0.98,-1.01,-1.04,-0.1,-0.6,-1.17,-0.05
14.821,0.96,-1.0,-1.03,-0.03,-0.54,-1.24,-0.09
14.86,0.91,-0.99,-1.0,0.05,-0.49,-1.22,-0.13
14.899,0.83,-0.95,-0.94,0.13,-0.42,-1.12,-0.17
14.939,0.76,-0.91,-0.88,0.19,-0.36,-0.95,-0.22
14.978,0.64,-0.88,-0.82,0.19,-0.3,-0.74,-0.24
15.017,0.52,-0.81,-0.74,0.15,-0.25,-0.53,-0.2
15.056,0.38,-0.73,-0.61,0.08,-0.18,-0.3,-0.11
15.096,0.25,-0.65,-0.41,-0.01,-0.07,-0.09,0.07
15.135,0.12,-0.54,-0.12,-0.12,0.1,0.11,0.32
15.174,-0.02,-0.4,0.29,-0.23,0.37,0.29,0.6
