betas,dx,H inital,H num inital,H num end,Relative Error,Rel Err Nums
0.025,0.00244140625,10335.8413872,10335.8413872,10335.8413855,1.65325197299e-10,1.68613587448e-06
0.025,0.0048828125,10335.8667744,10335.8667744,10335.8667736,7.89294243405e-11,8.12489815871e-07
0.025,0.009765625,10335.9175488,10335.9175488,10335.9175485,3.19147545253e-11,3.67623215425e-07
0.025,0.0244140625,10336.0698721,10336.0698721,10336.069872,6.97127903879e-12,6.68860593578e-08
0.025,0.029296875,10336.1206465,10336.2164473,10336.2164472,9.26853673231e-06,3.12593328999e-08
0.025,0.0341796875,10336.1714209,10336.3151221,10336.3151221,1.39027492839e-05,1.40007614391e-08
0.025,0.01953125,10336.0190977,10336.0190977,10336.0190975,1.52855718561e-11,1.2464079191e-07
0.025,0.0439453125,10336.2729697,10336.3687705,10336.3687705,9.26840573743e-06,5.27143129148e-09
0.025,0.048828125,10336.3237441,10336.3237441,10336.3237442,5.57593595924e-12,1.44591467688e-08
0.025,0.0537109375,10336.3745186,10336.5900703,10336.5900703,2.08537087336e-05,2.18769855564e-08
0.025,0.05859375,10336.425293,10336.5210938,10336.5210938,9.26827474624e-06,2.3988832254e-08
0.025,0.0634765625,10336.4760674,10336.5239678,10336.5239678,4.63411467637e-06,1.7651473172e-08
0.025,0.068359375,10336.5268418,10336.670543,10336.670543,1.390227139e-05,3.45426087733e-09
0.025,0.0732421875,10336.5776162,10336.8171182,10336.8171181,2.31703273766e-05,1.67146936292e-08
0.025,0.0390625,10336.2221953,10336.2221953,10336.2221953,1.37793932451e-12,3.90173227061e-09
0.025,0.078125,10336.6283906,10336.6283906,10336.6283906,2.58701021368e-12,4.29172359873e-08
0.025,0.15625,10337.4407813,10337.4407813,10337.4407797,1.5010852843e-10,1.53831933858e-06
0.025,0.3125,10339.0655625,10339.0655625,10339.0655473,1.47031944928e-09,1.52213688125e-05
0.025,0.625,10342.315125,10342.315125,10342.3149975,1.23281602728e-08,0.000127533385239
0.025,1.25,10348.81425,10348.81425,10348.8132153,9.99826323595e-08,0.00103472960109
