dx,time,diff,height norm,velocity norm
0.0048828125,30.0,0.5,0.0,0.0
0.009765625,30.0,0.5,1.79705042828e-07,2.67933122701e-06
0.0244140625,30.0,0.5,1.67895374251e-06,2.45612875613e-05
0.029296875,30.0,0.5,2.70149525041e-06,3.92461685462e-05
0.01953125,30.0,0.5,9.70322576731e-07,1.42963593779e-05
0.048828125,30.0,0.5,1.17026986153e-05,0.000166515045646
0.05859375,30.0,0.5,2.03328649948e-05,0.000288310412433
0.0390625,30.0,0.5,6.05488116279e-06,8.67393903894e-05
0.078125,30.0,0.5,4.95092922161e-05,0.000699144662671
0.15625,30.0,0.5,0.000422132893657,0.00597261108473
0.3125,30.0,0.5,0.00252495588319,0.0367488360434
0.625,30.0,0.5,0.00514922199552,0.0780007404455
1.25,30.0,0.5,0.00543467328619,0.0832410884489
