betas,dx,H inital,H num inital,H num end,Relative Error,Rel Err Nums
0.025,0.00244140625,10335.8413872,10335.8413872,10335.8342142,6.93993696889e-07,0.00717303356578
0.025,0.0048828125,10335.8667744,10335.8667744,10335.8524299,1.38783869004e-06,0.0143444772712
0.025,0.009765625,10335.9175488,10335.9175488,10335.8888661,2.7750540513e-06,0.0286827287055
0.025,0.01220703125,10335.942936,10335.942936,10335.9070865,3.46843409662e-06,0.0358495214241
0.025,0.0146484375,10335.9683232,10335.9922734,10335.9492587,1.84448552225e-06,0.0430147609222
0.025,0.01708984375,10335.9937105,10336.0535859,10336.0034074,9.38172885002e-07,0.0501784969911
0.025,0.01953125,10336.0190977,10336.0190977,10335.9617571,5.54764435425e-06,0.0573405889372
0.025,0.02197265625,10336.0444849,10336.1402856,10336.0757841,3.02816372562e-06,0.0645015471437
0.025,0.0244140625,10336.0698721,10336.0698721,10335.9982118,6.93302898896e-06,0.0716602285574
0.025,0.02685546875,10336.0952593,10336.179085,10336.1002673,4.84517681715e-07,0.0788176589977
0.025,0.029296875,10336.1206465,10336.2164473,10336.1304736,9.50754564254e-07,0.0859736991806
0.025,0.03173828125,10336.1460337,10336.1939341,10336.100806,4.37568248367e-06,0.0931280386885
0.025,0.0341796875,10336.1714209,10336.3151221,10336.2148403,4.20072365781e-06,0.100281778041
0.025,0.03662109375,10336.1968081,10336.2566836,10336.1492512,4.60100635604e-06,0.107432378329
0.025,0.0390625,10336.2221953,10336.2221953,10336.1076131,1.10855022345e-05,0.114582206628
0.025,0.078125,10336.6283906,10336.6283906,10336.3996175,2.21322773826e-05,0.228773105413
0.025,0.15625,10337.4407813,10337.4407813,10336.9847646,4.41131089782e-05,0.45601665757
0.025,0.3125,10339.0655625,10339.0655625,10338.1593885,8.76456384043e-05,0.90617402032
0.025,0.625,10342.315125,10342.315125,10340.5244812,0.000173137617649,1.79064377956
0.025,1.25,10348.81425,10348.81425,10345.3093965,0.000338671988599,3.50485353594
