betas,dx,H inital,H num inital,H num end,Relative Error,Rel Err Nums
0.025,0.00244140625,10335.8413872,10335.8413872,10335.8412458,1.36813994483e-08,0.000141390270073
0.025,0.0048828125,10335.8667744,10335.8667744,10335.8664917,2.73528877938e-08,0.000282714649074
0.025,0.009765625,10335.9175488,10335.9175488,10335.9169836,5.4685988459e-08,0.000565256779737
0.025,0.01220703125,10335.942936,10335.942936,10335.9422296,6.83476006512e-08,0.000706461281879
0.025,0.0146484375,10335.9683232,10335.9922734,10335.9914258,2.23516126861e-06,0.00084762235565
0.025,0.01708984375,10335.9937105,10336.0535859,10336.0545768,5.88877574266e-06,0.000990910260953
0.025,0.01953125,10336.0190977,10336.0190977,10336.0179678,1.09312684253e-07,0.00112981426719
0.025,0.02197265625,10336.0444849,10336.1402856,10336.1390148,9.14565868147e-06,0.00127084422093
0.025,0.0244140625,10336.0698721,10336.0698721,10336.0684602,1.36596605191e-07,0.00141183090636
0.025,0.02685546875,10336.0952593,10336.179085,10336.1806431,8.26074245364e-06,0.00155810524302
0.025,0.029296875,10336.1206465,10336.2164473,10336.2147536,9.1046841556e-06,0.00169367202761
0.025,0.03173828125,10336.1460337,10336.1939341,10336.195776,4.81246169411e-06,0.0018419651351
0.025,0.0341796875,10336.1714209,10336.3151221,10336.3131467,1.37116340324e-05,0.00197533901519
0.025,0.03662109375,10336.1968081,10336.2566836,10336.2545675,5.58807014423e-06,0.00211610747101
0.025,0.0390625,10336.2221953,10336.2221953,10336.2199385,2.18340337547e-07,0.00225683152712
0.025,0.078125,10336.6283906,10336.6283906,10336.6238882,4.3557982079e-07,0.00450247626213
0.025,0.15625,10337.4407813,10337.4407813,10337.431821,8.66776596631e-07,0.00896020330401
0.025,0.3125,10339.0655625,10339.0655625,10339.0478211,1.7159579482e-06,0.0177413862257
0.025,0.625,10342.315125,10342.315125,10342.2803584,3.36158793254e-06,0.0347665822828
0.025,1.25,10348.81425,10348.81425,10348.7475816,6.44212951165e-06,0.0666683971176
