dx,time,diff,height norm,velocity norm
0.0048828125,30.0,0.025,0.0,0.0
0.009765625,30.0,0.025,2.54197434898e-11,6.49041500068e-11
0.0244140625,30.0,0.025,5.09744461988e-11,1.77955621105e-10
0.029296875,30.0,0.025,5.1569928702e-11,2.52635864652e-10
0.01953125,30.0,0.025,4.83262045769e-11,1.37900026371e-10
0.048828125,30.0,0.025,9.13212247523e-11,1.05483075311e-09
0.05859375,30.0,0.025,1.42216896336e-10,1.89500208915e-09
0.0390625,30.0,0.025,6.07749697033e-11,5.28283049455e-10
0.078125,30.0,0.025,3.16516008158e-10,4.74780513083e-09
0.15625,30.0,0.025,2.57201999771e-09,4.19380437263e-08
0.3125,30.0,0.025,2.13791895408e-08,3.54458204982e-07
0.625,30.0,0.025,1.73604956728e-07,2.89502330992e-06
1.25,30.0,0.025,1.3789123596e-06,2.30937967373e-05
