betas,dx,H inital,H num inital,H num end,Relative Error,Rel Err Nums
0.5,0.00244140625,10395.4861872,10395.486187,10394.102971,0.000133059308831,1.38321605337
0.5,0.0048828125,10395.5115744,10395.5115745,10392.9827379,0.000243262344134,2.52883654117
0.5,0.009765625,10395.5623488,10395.5623489,10391.2718961,0.000412719637876,4.29045275158
0.5,0.01953125,10395.6638977,10395.6638976,10389.1885048,0.000622893633345,6.4753928375
0.5,0.0390625,10395.8669953,10395.8669953,10387.4549792,0.00080916927047,8.41201610023
0.5,0.078125,10396.2731906,10396.2731906,10386.6268177,0.000927868357067,9.64637288189
0.5,0.15625,10397.0855813,10397.0855812,10386.3715389,0.00103048515531,10.7140423485
0.5,0.3125,10398.7103625,10398.7103622,10386.3902427,0.00118477382007,12.3201195045
0.5,0.625,10401.959925,10401.9599095,10386.8835441,0.0014493788679,15.0763653463
0.5,1.25,10408.45905,10408.4582646,10388.7077957,0.00189761560334,19.7504689318
