Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,D Term 1,D Term 2,P Term 1,P Term 2
x**2*(-x/2 + 1/2)*(x - 1)**2*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/4,-1,1,1161/2240,wjm1o2p,dpsihmh,dpsihps,phijm1o2,phijm1o2
x**2*(x/2 + 1/2)*(x - 1)**2*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/4,-1,1,27/2240,wjp1o2m,dpsihmh,dpsihps,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x - 1)**2*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/4,-1,1,-1863/2240,wjm1o2p,dpsihms,dpsihps,phijm1o2,phijm1o2
x**2*(x/2 + 1/2)*(x - 1)**2*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/4,-1,1,-81/2240,wjp1o2m,dpsihms,dpsihps,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x - 1)**2*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)**2/4,-1,1,891/2240,wjm1o2p,dpsihps,dpsihps,phijm1o2,phijm1o2
x**2*(x/2 + 1/2)*(x - 1)**2*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)**2/4,-1,1,81/2240,wjp1o2m,dpsihps,dpsihps,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x - 1)**2*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/4,-1,1,-27/320,wjm1o2p,dpsihph,dpsihps,phijm1o2,phijm1o2
x**2*(x/2 + 1/2)*(x - 1)**2*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/4,-1,1,-27/2240,wjp1o2m,dpsihph,dpsihps,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x - 1)**2*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/4,-1,1,-145/1344,wjm1o2p,dpsihmh,dpsihph,phijm1o2,phijm1o2
x**2*(x/2 + 1/2)*(x - 1)**2*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/4,-1,1,-11/6720,wjp1o2m,dpsihmh,dpsihph,phijm1o2,phijm1o2
