betas,dx,H inital,H num inital,H num end,Relative Error,Rel Err Nums
2.5,0.00244140625,10397.9975472,10397.997547,10397.9974646,7.94451366658e-09,8.24385660962e-05
2.5,0.0048828125,10398.0229344,10398.0229345,10398.0228741,5.80053186612e-09,6.03160933679e-05
2.5,0.009765625,10398.0737088,10398.0737089,10398.074007,2.86756837718e-08,0.000298142369502
2.5,0.01220703125,10398.099096,10398.099096,10398.0997304,6.10077703735e-08,0.000634348260064
2.5,0.0146484375,10398.1244832,10398.1484334,10398.1495086,2.40671842801e-06,0.00107517744436
2.5,0.01708984375,10398.1498704,10398.2097459,10398.2132551,6.09576237797e-06,0.00350913700277
2.5,0.01953125,10398.1752577,10398.1752576,10398.1775283,2.18369444065e-07,0.00227062696104
2.5,0.02197265625,10398.2006449,10398.2964457,10398.2994704,9.50409980464e-06,0.00302478295635
2.5,0.0244140625,10398.2260321,10398.2260321,10398.2299143,3.73355000605e-07,0.0038822659244
2.5,0.02685546875,10398.2514193,10398.335245,10398.3430554,8.81264733468e-06,0.00781040685979
2.5,0.029296875,10398.2768065,10398.3726073,10398.3785094,9.78074709065e-06,0.00590209341499
2.5,0.03173828125,10398.3021937,10398.3500941,10398.3606645,5.62311111029e-06,0.010570381779
2.5,0.0341796875,10398.3275809,10398.4712821,10398.4796019,1.46197549923e-05,0.00831984998695
2.5,0.03662109375,10398.3529681,10398.4128436,10398.4225218,6.68891455626e-06,0.00967816115008
2.5,0.0390625,10398.3783553,10398.3783553,10398.3894954,1.07132930912e-06,0.0111400733113
2.5,0.078125,10398.7845506,10398.7845504,10398.8330235,4.66139814341e-06,0.0484730466542
2.5,0.15625,10399.5969413,10399.59693,10399.7928013,1.88334270169e-05,0.195871298209
2.5,0.3125,10401.2217225,10401.2211519,10401.9459667,6.96306856369e-05,0.724814780759
2.5,0.625,10404.471285,10404.4365851,10406.7964116,0.00022347378702,2.35982653946
2.5,1.25,10410.97041,10410.5836873,10416.1078913,0.000493468053186,5.52420401274
