Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,D Term 1,P Term 1,D Term 2
-x**2*(x/2 + 1/2)**2*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16),-1,1,171/140,wjp1o2m,wjp1o2m,dpsihps,phijp1o2,dphij
-x**2*(-x/2 + 1/2)**2*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,-1/84,wjm1o2p,wjm1o2p,dpsihph,phijp1o2,dphij
-x**2*(-x/2 + 1/2)*(x/2 + 1/2)*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,-8/105,wjp1o2m,wjm1o2p,dpsihph,phijp1o2,dphij
-x**2*(-x/2 + 1/2)*(x/2 + 1/2)*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,-8/105,wjm1o2p,wjp1o2m,dpsihph,phijp1o2,dphij
-x**2*(x/2 + 1/2)**2*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,-193/210,wjp1o2m,wjp1o2m,dpsihph,phijp1o2,dphij
x*(-x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)/2,-1,1,19/105,wjm1o2p,wjm1o2p,dpsihmh,phijm1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)/2,-1,1,1/120,wjp1o2m,wjm1o2p,dpsihmh,phijm1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)/2,-1,1,1/120,wjm1o2p,wjp1o2m,dpsihmh,phijm1o2,dphijp1o2
x*(x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)/2,-1,1,-1/560,wjp1o2m,wjp1o2m,dpsihmh,phijm1o2,dphijp1o2
x*(-x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,-21/80,wjm1o2p,wjm1o2p,dpsihms,phijm1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,-3/560,wjp1o2m,wjm1o2p,dpsihms,phijm1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,-3/560,wjm1o2p,wjp1o2m,dpsihms,phijm1o2,dphijp1o2
x*(x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,3/280,wjp1o2m,wjp1o2m,dpsihms,phijm1o2,dphijp1o2
x*(-x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,3/28,wjm1o2p,wjm1o2p,dpsihps,phijm1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,3/280,wjp1o2m,wjm1o2p,dpsihps,phijm1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,3/280,wjm1o2p,wjp1o2m,dpsihps,phijm1o2,dphijp1o2
x*(x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,33/560,wjp1o2m,wjp1o2m,dpsihps,phijm1o2,dphijp1o2
x*(-x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/2,-1,1,-43/1680,wjm1o2p,wjm1o2p,dpsihph,phijm1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/2,-1,1,-23/1680,wjp1o2m,wjm1o2p,dpsihph,phijm1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/2,-1,1,-23/1680,wjm1o2p,wjp1o2m,dpsihph,phijm1o2,dphijp1o2
x*(x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/2,-1,1,-19/280,wjp1o2m,wjp1o2m,dpsihph,phijm1o2,dphijp1o2
-(-x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16),-1,1,11/210,wjm1o2p,wjm1o2p,dpsihmh,phij,dphijp1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16),-1,1,2/105,wjp1o2m,wjm1o2p,dpsihmh,phij,dphijp1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16),-1,1,2/105,wjm1o2p,wjp1o2m,dpsihmh,phij,dphijp1o2
-(x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16),-1,1,11/420,wjp1o2m,wjp1o2m,dpsihmh,phij,dphijp1o2
-(-x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,-27/140,wjm1o2p,wjm1o2p,dpsihms,phij,dphijp1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,-6/35,wjp1o2m,wjm1o2p,dpsihms,phij,dphijp1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,-6/35,wjm1o2p,wjp1o2m,dpsihms,phij,dphijp1o2
-(x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,-3/14,wjp1o2m,wjp1o2m,dpsihms,phij,dphijp1o2
-(-x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16),-1,1,9/70,wjm1o2p,wjm1o2p,dpsihps,phij,dphijp1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16),-1,1,3/35,wjp1o2m,wjm1o2p,dpsihps,phij,dphijp1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16),-1,1,3/35,wjm1o2p,wjp1o2m,dpsihps,phij,dphijp1o2
-(x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16),-1,1,-3/20,wjp1o2m,wjp1o2m,dpsihps,phij,dphijp1o2
-(-x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,1/84,wjm1o2p,wjm1o2p,dpsihph,phij,dphijp1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,1/15,wjp1o2m,wjm1o2p,dpsihph,phij,dphijp1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x + 1/2)*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,1/15,wjm1o2p,wjp1o2m,dpsihph,phij,dphijp1o2
-(x/2 + 1/2)**2*(x - 1)*(x + 1/2)*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,71/210,wjp1o2m,wjp1o2m,dpsihph,phij,dphijp1o2
x*(-x/2 + 1/2)**2*(x + 1/2)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)/2,-1,1,-1/120,wjm1o2p,wjm1o2p,dpsihmh,phijp1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x + 1/2)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)/2,-1,1,1/560,wjp1o2m,wjm1o2p,dpsihmh,phijp1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x + 1/2)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)/2,-1,1,1/560,wjm1o2p,wjp1o2m,dpsihmh,phijp1o2,dphijp1o2
x*(x/2 + 1/2)**2*(x + 1/2)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)/2,-1,1,-97/1680,wjp1o2m,wjp1o2m,dpsihmh,phijp1o2,dphijp1o2
x*(-x/2 + 1/2)**2*(x + 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,3/560,wjm1o2p,wjm1o2p,dpsihms,phijp1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x + 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,-3/280,wjp1o2m,wjm1o2p,dpsihms,phijp1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x + 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,-3/280,wjm1o2p,wjp1o2m,dpsihms,phijp1o2,dphijp1o2
x*(x/2 + 1/2)**2*(x + 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,39/140,wjp1o2m,wjp1o2m,dpsihms,phijp1o2,dphijp1o2
x*(-x/2 + 1/2)**2*(x + 1/2)*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,-3/280,wjm1o2p,wjm1o2p,dpsihps,phijp1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x + 1/2)*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,-33/560,wjp1o2m,wjm1o2p,dpsihps,phijp1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x + 1/2)*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,-33/560,wjm1o2p,wjp1o2m,dpsihps,phijp1o2,dphijp1o2
x*(x/2 + 1/2)**2*(x + 1/2)*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,-537/560,wjp1o2m,wjp1o2m,dpsihps,phijp1o2,dphijp1o2
x*(-x/2 + 1/2)**2*(x + 1/2)*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/2,-1,1,23/1680,wjm1o2p,wjm1o2p,dpsihph,phijp1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x + 1/2)*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/2,-1,1,19/280,wjp1o2m,wjm1o2p,dpsihph,phijp1o2,dphijp1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x + 1/2)*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/2,-1,1,19/280,wjm1o2p,wjp1o2m,dpsihph,phijp1o2,dphijp1o2
x*(x/2 + 1/2)**2*(x + 1/2)*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/2,-1,1,31/42,wjp1o2m,wjp1o2m,dpsihph,phijp1o2,dphijp1o2
