Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,D Term 1,P Term 1,D Term 2
-(-x/2 + 1/2)**2*(x - 1)*(x - 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,-3/20,wjm1o2p,wjm1o2p,dpsihms,phij,dphijm1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x - 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,3/35,wjp1o2m,wjm1o2p,dpsihms,phij,dphijm1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x - 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,3/35,wjm1o2p,wjp1o2m,dpsihms,phij,dphijm1o2
-(x/2 + 1/2)**2*(x - 1)*(x - 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16),-1,1,9/70,wjp1o2m,wjp1o2m,dpsihms,phij,dphijm1o2
-(-x/2 + 1/2)**2*(x - 1)*(x - 1/2)*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16),-1,1,-3/14,wjm1o2p,wjm1o2p,dpsihps,phij,dphijm1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x - 1/2)*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16),-1,1,-6/35,wjp1o2m,wjm1o2p,dpsihps,phij,dphijm1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x - 1/2)*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16),-1,1,-6/35,wjm1o2p,wjp1o2m,dpsihps,phij,dphijm1o2
-(x/2 + 1/2)**2*(x - 1)*(x - 1/2)*(x + 1)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16),-1,1,-27/140,wjp1o2m,wjp1o2m,dpsihps,phij,dphijm1o2
-(-x/2 + 1/2)**2*(x - 1)*(x - 1/2)*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,11/420,wjm1o2p,wjm1o2p,dpsihph,phij,dphijm1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x - 1/2)*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,2/105,wjp1o2m,wjm1o2p,dpsihph,phij,dphijm1o2
