dx,dt,time,xi,Eval,height(m),G,u(m/s),true height,true velocity
0.09765625,0.0119566931342,0.0119566931342,-46.09375,528.396026442,1.0,-8.77320805591e-206,-8.21233499383e-40,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-45.99609375,528.396026442,1.0,-1.56152720901e-204,-9.725817313e-40,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-45.8984375,528.396026442,1.0,-6.32584639563e-203,-1.15182240983e-39,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-45.80078125,528.396026442,1.0,-5.31583730725e-201,-1.36409593697e-39,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-45.703125,528.396026442,1.0,-5.04876964094e-200,-1.61549005611e-39,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-45.60546875,528.396026442,1.0,-2.52574567482e-198,-1.91321444108e-39,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-45.5078125,528.396026442,1.0,-6.61919556159e-198,-2.26580746068e-39,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-45.41015625,528.396026442,1.0,-1.03677505217e-195,-2.68338104861e-39,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-45.3125,528.396026442,1.0,-1.13443257322e-194,-3.17791070126e-39,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-45.21484375,528.396026442,1.0,-1.04795884499e-192,-3.76357892019e-39,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-45.1171875,528.396026442,1.0,-2.88222929395e-191,-4.45718194887e-39,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-45.01953125,528.396026442,1.0,-2.65355051853e-190,-5.27861146819e-39,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-44.921875,528.396026442,1.0,-1.00624506007e-188,-6.25142506543e-39,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-44.82421875,528.396026442,1.0,-3.13020768128e-187,-7.40352183683e-39,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-44.7265625,528.396026442,1.0,-1.62411693383e-185,-8.76794249936e-39,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-44.62890625,528.396026442,1.0,-1.2257486293e-185,-1.03838169577e-38,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-44.53125,528.396026442,1.0,-7.55061155652e-184,-1.2297486502e-38,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-44.43359375,528.396026442,1.0,-2.58250527211e-181,-1.45638328185e-38,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-44.3359375,528.396026442,1.0,-5.69343568131e-180,-1.72478519294e-38,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-44.23828125,528.396026442,1.0,-4.25752509502e-179,-2.04265181982e-38,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-44.140625,528.396026442,1.0,-2.143864712e-177,-2.419099186e-38,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-44.04296875,528.396026442,1.0,-7.63359790017e-176,-2.86492333845e-38,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-43.9453125,528.396026442,1.0,-2.79547619655e-174,-3.39290996497e-38,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-43.84765625,528.396026442,1.0,-6.62912170751e-173,-4.01820107197e-38,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-43.75,528.396026442,1.0,-2.99194921284e-172,-4.75872923852e-38,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-43.65234375,528.396026442,1.0,-1.39732114589e-170,-5.63573190073e-38,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-43.5546875,528.396026442,1.0,8.00440755177e-170,-6.67436041517e-38,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-43.45703125,528.396026442,1.0,-3.21059547042e-167,-7.9044013689e-38,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-43.359375,528.396026442,1.0,-8.32370060887e-166,-9.36113082205e-38,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-43.26171875,528.396026442,1.0,-3.48210497458e-165,-1.10863259818e-37,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-43.1640625,528.396026442,1.0,-5.91867401393e-163,-1.31294633213e-37,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-43.06640625,528.396026442,1.0,-3.65829044186e-162,-1.5549137504e-37,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-42.96875,528.396026442,1.0,-1.27438168304e-160,-1.84147418063e-37,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-42.87109375,528.396026442,1.0,-6.98242615172e-159,-2.18084582315e-37,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-42.7734375,528.396026442,1.0,-2.36335564959e-157,-2.58276143884e-37,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-42.67578125,528.396026442,1.0,-1.91799777918e-156,-3.05874747272e-37,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-42.578125,528.396026442,1.0,3.94282075113e-155,-3.6224546182e-37,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-42.48046875,528.396026442,1.0,-1.37357775133e-153,-4.2900493022e-37,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-42.3828125,528.396026442,1.0,-6.26500621421e-152,-5.0806773183e-37,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-42.28515625,528.396026442,1.0,3.62773693166e-151,-6.01701290461e-37,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-42.1875,528.396026442,1.0,-2.73925960594e-149,-7.12590901291e-37,1.0,0.0
