cell midpoint,h,G,u(m/s),bed,w
-112.5,0.0,0.0,0.0,-1.0,-1.0
-112.475585937,0.0,0.0,0.0,-0.99999529381,-0.99999529381
-112.451171875,0.0,0.0,0.0,-0.999981175283,-0.999981175283
-112.426757812,0.0,0.0,0.0,-0.999957644552,-0.999957644552
-112.40234375,0.0,0.0,0.0,-0.999924701839,-0.999924701839
-112.377929687,0.0,0.0,0.0,-0.999882347454,-0.999882347454
-112.353515625,0.0,0.0,0.0,-0.999830581796,-0.999830581796
-112.329101562,0.0,0.0,0.0,-0.999769405351,-0.999769405351
-112.3046875,0.0,0.0,0.0,-0.999698818696,-0.999698818696
-112.280273437,0.0,0.0,0.0,-0.999618822495,-0.999618822495
-112.255859375,0.0,0.0,0.0,-0.999529417501,-0.999529417501
-112.231445312,0.0,0.0,0.0,-0.999430604555,-0.999430604555
-112.20703125,0.0,0.0,0.0,-0.999322384588,-0.999322384588
-112.182617187,0.0,0.0,0.0,-0.999204758618,-0.999204758618
-112.158203125,0.0,0.0,0.0,-0.999077727753,-0.999077727753
-112.133789062,0.0,0.0,0.0,-0.998941293187,-0.998941293187
-112.109375,0.0,0.0,0.0,-0.998795456205,-0.998795456205
-112.084960937,0.0,0.0,0.0,-0.99864021818,-0.99864021818
-112.060546875,0.0,0.0,0.0,-0.998475580573,-0.998475580573
-112.036132812,0.0,0.0,0.0,-0.998301544934,-0.998301544934
-112.01171875,0.0,0.0,0.0,-0.9981181129,-0.9981181129
-111.987304687,0.0,0.0,0.0,-0.997925286199,-0.997925286199
-111.962890625,0.0,0.0,0.0,-0.997723066644,-0.997723066644
-111.938476562,0.0,0.0,0.0,-0.99751145614,-0.99751145614
-111.9140625,0.0,0.0,0.0,-0.997290456679,-0.997290456679
-111.889648437,0.0,0.0,0.0,-0.997060070339,-0.997060070339
-111.865234375,0.0,0.0,0.0,-0.996820299291,-0.996820299291
-111.840820312,0.0,0.0,0.0,-0.996571145791,-0.996571145791
-111.81640625,0.0,0.0,0.0,-0.996312612183,-0.996312612183
-111.791992187,0.0,0.0,0.0,-0.996044700901,-0.996044700901
-111.767578125,0.0,0.0,0.0,-0.995767414468,-0.995767414468
-111.743164062,0.0,0.0,0.0,-0.995480755492,-0.995480755492
-111.71875,0.0,0.0,0.0,-0.995184726672,-0.995184726672
-111.694335937,0.0,0.0,0.0,-0.994879330795,-0.994879330795
-111.669921875,0.0,0.0,0.0,-0.994564570734,-0.994564570734
-111.645507812,0.0,0.0,0.0,-0.994240449453,-0.994240449453
-111.62109375,0.0,0.0,0.0,-0.993906970002,-0.993906970002
-111.596679687,0.0,0.0,0.0,-0.993564135521,-0.993564135521
-111.572265625,0.0,0.0,0.0,-0.993211949235,-0.993211949235
-111.547851562,0.0,0.0,0.0,-0.99285041446,-0.99285041446
-111.5234375,0.0,0.0,0.0,-0.992479534599,-0.992479534599
-111.499023437,0.0,0.0,0.0,-0.992099313142,-0.992099313142
-111.474609375,0.0,0.0,0.0,-0.991709753669,-0.991709753669
-111.450195312,0.0,0.0,0.0,-0.991310859846,-0.991310859846
-111.42578125,0.0,0.0,0.0,-0.990902635428,-0.990902635428
-111.401367187,0.0,0.0,0.0,-0.990485084256,-0.990485084256
-111.376953125,0.0,0.0,0.0,-0.990058210262,-0.990058210262
-111.352539062,0.0,0.0,0.0,-0.989622017463,-0.989622017463
-111.328125,0.0,0.0,0.0,-0.989176509965,-0.989176509965
-111.303710937,0.0,0.0,0.0,-0.98872169196,-0.98872169196
-111.279296875,0.0,0.0,0.0,-0.988257567731,-0.988257567731
-111.254882812,0.0,0.0,0.0,-0.987784141645,-0.987784141645
-111.23046875,0.0,0.0,0.0,-0.987301418158,-0.987301418158
-111.206054687,0.0,0.0,0.0,-0.986809401814,-0.986809401814
-111.181640625,0.0,0.0,0.0,-0.986308097245,-0.986308097245
-111.157226562,0.0,0.0,0.0,-0.985797509168,-0.985797509168
-111.1328125,0.0,0.0,0.0,-0.985277642389,-0.985277642389
-111.108398437,0.0,0.0,0.0,-0.984748501802,-0.984748501802
-111.083984375,0.0,0.0,0.0,-0.984210092387,-0.984210092387
-111.059570312,0.0,0.0,0.0,-0.983662419212,-0.983662419212
-111.03515625,0.0,0.0,0.0,-0.983105487431,-0.983105487431
-111.010742187,0.0,0.0,0.0,-0.982539302287,-0.982539302287
-110.986328125,0.0,0.0,0.0,-0.98196386911,-0.98196386911
-110.961914062,0.0,0.0,0.0,-0.981379193314,-0.981379193314
-110.9375,0.0,0.0,0.0,-0.980785280403,-0.980785280403
-110.913085937,0.0,0.0,0.0,-0.980182135968,-0.980182135968
-110.888671875,0.0,0.0,0.0,-0.979569765685,-0.979569765685
-110.864257812,0.0,0.0,0.0,-0.978948175319,-0.978948175319
-110.83984375,0.0,0.0,0.0,-0.97831737072,-0.97831737072
-110.815429687,0.0,0.0,0.0,-0.977677357825,-0.977677357825
-110.791015625,0.0,0.0,0.0,-0.977028142658,-0.977028142658
-110.766601562,0.0,0.0,0.0,-0.97636973133,-0.97636973133
-110.7421875,0.0,0.0,0.0,-0.975702130039,-0.975702130039
-110.717773437,0.0,0.0,0.0,-0.975025345067,-0.975025345067
-110.693359375,0.0,0.0,0.0,-0.974339382786,-0.974339382786
-110.668945312,0.0,0.0,0.0,-0.973644249651,-0.973644249651
-110.64453125,0.0,0.0,0.0,-0.972939952206,-0.972939952206
-110.620117187,0.0,0.0,0.0,-0.972226497079,-0.972226497079
-110.595703125,0.0,0.0,0.0,-0.971503890986,-0.971503890986
-110.571289062,0.0,0.0,0.0,-0.970772140729,-0.970772140729
-110.546875,0.0,0.0,0.0,-0.970031253195,-0.970031253195
-110.522460937,0.0,0.0,0.0,-0.969281235357,-0.969281235357
-110.498046875,0.0,0.0,0.0,-0.968522094274,-0.968522094274
-110.473632812,0.0,0.0,0.0,-0.967753837093,-0.967753837093
-110.44921875,0.0,0.0,0.0,-0.966976471045,-0.966976471045
-110.424804687,0.0,0.0,0.0,-0.966190003445,-0.966190003445
-110.400390625,0.0,0.0,0.0,-0.965394441698,-0.965394441698
-110.375976562,0.0,0.0,0.0,-0.96458979329,-0.96458979329
-110.3515625,0.0,0.0,0.0,-0.963776065795,-0.963776065795
-110.327148437,0.0,0.0,0.0,-0.962953266874,-0.962953266874
-110.302734375,0.0,0.0,0.0,-0.962121404269,-0.962121404269
-110.278320312,0.0,0.0,0.0,-0.961280485811,-0.961280485811
-110.25390625,0.0,0.0,0.0,-0.960430519416,-0.960430519416
-110.229492187,0.0,0.0,0.0,-0.959571513082,-0.959571513082
-110.205078125,0.0,0.0,0.0,-0.958703474896,-0.958703474896
-110.180664062,0.0,0.0,0.0,-0.957826413028,-0.957826413028
-110.15625,0.0,0.0,0.0,-0.956940335732,-0.956940335732
-110.131835937,0.0,0.0,0.0,-0.95604525135,-0.95604525135
-110.107421875,0.0,0.0,0.0,-0.955141168306,-0.955141168306
-110.083007812,0.0,0.0,0.0,-0.954228095109,-0.954228095109
-110.05859375,0.0,0.0,0.0,-0.953306040354,-0.953306040354
-110.034179687,0.0,0.0,0.0,-0.95237501272,-0.95237501272
-110.009765625,0.0,0.0,0.0,-0.951435020969,-0.951435020969
-109.985351562,0.0,0.0,0.0,-0.950486073949,-0.950486073949
-109.9609375,0.0,0.0,0.0,-0.949528180593,-0.949528180593
-109.936523437,0.0,0.0,0.0,-0.948561349916,-0.948561349916
-109.912109375,0.0,0.0,0.0,-0.947585591018,-0.947585591018
-109.887695312,0.0,0.0,0.0,-0.946600913083,-0.946600913083
-109.86328125,0.0,0.0,0.0,-0.945607325381,-0.945607325381
-109.838867187,0.0,0.0,0.0,-0.944604837261,-0.944604837261
-109.814453125,0.0,0.0,0.0,-0.943593458162,-0.943593458162
-109.790039062,0.0,0.0,0.0,-0.942573197601,-0.942573197601
-109.765625,0.0,0.0,0.0,-0.941544065183,-0.941544065183
-109.741210937,0.0,0.0,0.0,-0.940506070593,-0.940506070593
-109.716796875,0.0,0.0,0.0,-0.939459223602,-0.939459223602
-109.692382812,0.0,0.0,0.0,-0.938403534063,-0.938403534063
-109.66796875,0.0,0.0,0.0,-0.937339011913,-0.937339011913
-109.643554687,0.0,0.0,0.0,-0.93626566717,-0.93626566717
-109.619140625,0.0,0.0,0.0,-0.935183509939,-0.935183509939
-109.594726562,0.0,0.0,0.0,-0.934092550404,-0.934092550404
-109.5703125,0.0,0.0,0.0,-0.932992798835,-0.932992798835
