dx,dt,time,xi,Eval,height(m),G,u(m/s),true height,true velocity
0.01220703125,0.00149458664177,0.100137304999,-50.0,527.976899831,1.0,4.71230459104e-16,-3.93230255362e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.9877929688,527.976899831,1.0,-2.13110954422e-15,-8.26368015721e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.9755859375,527.976899831,1.0,-3.60219437488e-15,-1.17008342211e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.9633789062,527.976899831,1.0,-2.90667634149e-15,-1.36076163069e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.951171875,527.976899831,1.0,-1.64930660686e-15,-1.42443225236e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.9389648438,527.976899831,1.0,-3.82874748022e-16,-1.41499685835e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.9267578125,527.976899831,1.0,1.73690714093e-17,-1.38620059134e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.9145507812,527.976899831,1.0,0.0,-1.35725750368e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.90234375,527.976899831,1.0,0.0,-1.3288661443e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.8901367188,527.976899831,1.0,0.0,-1.301064905e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.8779296875,527.976899831,1.0,0.0,-1.27384502499e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.8657226562,527.976899831,1.0,0.0,-1.24719459893e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.853515625,527.976899831,1.0,0.0,-1.2211017316e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.8413085938,527.976899831,1.0,0.0,-1.19555475952e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.8291015625,527.976899831,1.0,0.0,-1.17054226198e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.8168945312,527.976899831,1.0,0.0,-1.14605305709e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.8046875,527.976899831,1.0,0.0,-1.12207619693e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.7924804688,527.976899831,1.0,0.0,-1.09860096261e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.7802734375,527.976899831,1.0,0.0,-1.07561685948e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.7680664062,527.976899831,1.0,0.0,-1.05311361248e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.755859375,527.976899831,1.0,0.0,-1.03108116148e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.7436523438,527.976899831,1.0,0.0,-1.00950965686e-17,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.7314453125,527.976899831,1.0,0.0,-9.88389455029e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.7192382812,527.976899831,1.0,0.0,-9.67711114179e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.70703125,527.976899831,1.0,0.0,-9.47465390026e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.6948242188,527.976899831,1.0,0.0,-9.27643231687e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.6826171875,527.976899831,1.0,0.0,-9.08235777637e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.6704101562,527.976899831,1.0,0.0,-8.89234351746e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.658203125,527.976899831,1.0,0.0,-8.70630459396e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.6459960938,527.976899831,1.0,0.0,-8.52415783692e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.6337890625,527.976899831,1.0,0.0,-8.34582181733e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.6215820312,527.976899831,1.0,0.0,-8.17121680983e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.609375,527.976899831,1.0,0.0,-8.00026475698e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.5971679688,527.976899831,1.0,0.0,-7.83288923442e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.5849609375,527.976899831,1.0,0.0,-7.66901541666e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.5727539062,527.976899831,1.0,0.0,-7.50857004368e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.560546875,527.976899831,1.0,0.0,-7.35148138812e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.5483398438,527.976899831,1.0,0.0,-7.19767922327e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.5361328125,527.976899831,1.0,0.0,-7.04709479165e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.5239257812,527.976899831,1.0,0.0,-6.89966077426e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.51171875,527.976899831,1.0,0.0,-6.7553112605e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.4995117188,527.976899831,1.0,0.0,-6.6139817187e-18,1.0,0.0
0.01220703125,0.00149458664177,0.100137304999,-49.4873046875,527.976899831,1.0,0.0,-6.4756089673e-18,1.0,0.0
